game,metric,value
CCC,form_Wyoming brown_plays,28.0
CCC,form_Wyoming brown_yards,114.0
CCC,form_Wyoming brown_ypp,4.1
CCC,form_Twins Split_plays,26.0
CCC,form_Twins Split_yards,97.0
CCC,form_Twins Split_ypp,3.7
CCC,form_WISCONSIN RED_plays,15.0
CCC,form_WISCONSIN RED_yards,215.0
CCC,form_WISCONSIN RED_ypp,14.3
CCC,form_IOWA BLACK_plays,10.0
CCC,form_IOWA BLACK_yards,-1.0
CCC,form_IOWA BLACK_ypp,-0.1
CCC,form_OHIO SCARLET UNDER_plays,5.0
CCC,form_OHIO SCARLET UNDER_yards,13.0
CCC,form_OHIO SCARLET UNDER_ypp,2.6
CCC,form_Wyoming GOLD PISTOL_plays,4.0
CCC,form_Wyoming GOLD PISTOL_yards,62.0
CCC,form_Wyoming GOLD PISTOL_ypp,15.5
CCC,form_WYOMING GOLD_plays,4.0
CCC,form_WYOMING GOLD_yards,28.0
CCC,form_WYOMING GOLD_ypp,7.0
CCC,form_FLA. BLUE_plays,3.0
CCC,form_FLA. BLUE_yards,42.0
CCC,form_FLA. BLUE_ypp,14.0
CCC,form_OREGON GREEN_plays,2.0
CCC,form_OREGON GREEN_yards,-4.0
CCC,form_OREGON GREEN_ypp,-2.0
CCC,form_MICH MAIZE_plays,1.0
CCC,form_MICH MAIZE_yards,16.0
CCC,form_MICH MAIZE_ypp,16.0
Bedford,form_Wyoming brown_plays,17.0
Bedford,form_Wyoming brown_yards,118.0
Bedford,form_Wyoming brown_ypp,6.9
Bedford,form_FLA. BLUE_plays,13.0
Bedford,form_FLA. BLUE_yards,23.0
Bedford,form_FLA. BLUE_ypp,1.8
Bedford,form_IOWA BLACK_plays,12.0
Bedford,form_IOWA BLACK_yards,10.0
Bedford,form_IOWA BLACK_ypp,0.8
Bedford,form_Twins Split_plays,6.0
Bedford,form_Twins Split_yards,6.0
Bedford,form_Twins Split_ypp,1.0
Bedford,form_WISCONSIN RED_plays,2.0
Bedford,form_WISCONSIN RED_yards,5.0
Bedford,form_WISCONSIN RED_ypp,2.5
Erie,form_FLA. BLUE_plays,13.0
Erie,form_FLA. BLUE_yards,77.0
Erie,form_FLA. BLUE_ypp,5.9
Erie,form_Twins Split_plays,12.0
Erie,form_Twins Split_yards,55.0
Erie,form_Twins Split_ypp,4.6
Erie,form_Wyoming brown_plays,7.0
Erie,form_Wyoming brown_yards,40.0
Erie,form_Wyoming brown_ypp,5.7
Erie,form_WISCONSIN RED_plays,4.0
Erie,form_WISCONSIN RED_yards,-5.0
Erie,form_WISCONSIN RED_ypp,-1.2
Erie,form_IOWA BLACK_plays,2.0
Erie,form_IOWA BLACK_yards,-2.0
Erie,form_IOWA BLACK_ypp,-1.0
Erie,form_TEXAS BROWN_plays,1.0
Erie,form_TEXAS BROWN_yards,0.0
Erie,form_TEXAS BROWN_ypp,0.0
Shaker with Hudl asst,form_IOWA BLACK_plays,18.0
Shaker with Hudl asst,form_IOWA BLACK_yards,30.0
Shaker with Hudl asst,form_IOWA BLACK_ypp,1.7
Shaker with Hudl asst,form_Wyoming brown_plays,11.0
Shaker with Hudl asst,form_Wyoming brown_yards,38.0
Shaker with Hudl asst,form_Wyoming brown_ypp,3.5
Shaker with Hudl asst,form_WISCONSIN RED_plays,7.0
Shaker with Hudl asst,form_WISCONSIN RED_yards,7.0
Shaker with Hudl asst,form_WISCONSIN RED_ypp,1.0
Shaker with Hudl asst,form_FLA. BLUE_plays,3.0
Shaker with Hudl asst,form_FLA. BLUE_yards,139.0
Shaker with Hudl asst,form_FLA. BLUE_ypp,46.3
Shaker with Hudl asst,form_Twins Split_plays,2.0
Shaker with Hudl asst,form_Twins Split_yards,-8.0
Shaker with Hudl asst,form_Twins Split_ypp,-4.0
Shaw,form_Twins Split_plays,34.0
Shaw,form_Twins Split_yards,11.0
Shaw,form_Twins Split_ypp,0.3
Shaw,form_IOWA BLACK_plays,25.0
Shaw,form_IOWA BLACK_yards,127.0
Shaw,form_IOWA BLACK_ypp,5.1
Shaw,form_FLA. BLUE_plays,18.0
Shaw,form_FLA. BLUE_yards,24.0
Shaw,form_FLA. BLUE_ypp,1.3
Shaw,form_Wyoming brown_plays,15.0
Shaw,form_Wyoming brown_yards,138.0
Shaw,form_Wyoming brown_ypp,9.2
Shaw,form_WISCONSIN RED_plays,12.0
Shaw,form_WISCONSIN RED_yards,42.0
Shaw,form_WISCONSIN RED_ypp,3.5
Shaw,form_UTAH RED_plays,2.0
