Metric,Value
category,Season Total
total_plays,178
total_yards,907.0
total_tds,12
yards_per_play,5.1
first_downs,65
turnovers,8
fumbles,2
completions,38
attempts,47
passing_yards,334.0
passing_tds,4
interceptions,6
completion_pct,80.9
yards_per_attempt,7.1
sacks,5
sack_yards_lost,35.0
incompletes,17
carries,117
rushing_yards,573.0
rushing_tds,8
yards_per_carry,4.9
long_rush,42.0
left_carries,54
left_yards,296.0
middle_carries,0
middle_yards,0.0
right_carries,63
right_yards,277.0
def_total_plays,215
def_total_yards,765.0
def_total_tds,9
def_yards_per_play,3.6
def_first_downs,41
def_turnovers,7
def_fumbles,4
def_completions,95
def_attempts,108
def_passing_yards,497.0
def_passing_tds,6
def_interceptions,3
def_completion_pct,88.0
def_yards_per_attempt,4.6
def_sacks,8
def_sack_yards_lost,34.0
def_incompletes,50
def_carries,92
def_rushing_yards,268.0
def_rushing_tds,3
def_yards_per_carry,2.9
def_long_rush,46.0
def_left_carries,46
def_left_yards,121.0
def_middle_carries,0
def_middle_yards,0.0
def_right_carries,45
def_right_yards,144.0
first_down_plays,81
second_down_plays,61
third_down_plays,30
third_down_conversions,12
third_down_pct,40.0
fourth_down_plays,16
red_zone_plays,40
red_zone_tds,8
run_plays,117
pass_plays,61
run_pct,65.7
pass_pct,34.3
