clip_file,frame_num,total_defensive_players,box_count,defenders_on_los,second_level_count,deep_defenders,front,front_description,safety_alignment,coverage_shell,nose_tackle,edge_count,potential_blitz,blitz_indicators,confidence
End Zone - Clip 001.mp4,370,9,5,0,7,2,3-down,3-4,robber,Cover 3,False,0,False,,0.80
End Zone - Clip 002.mp4,270,9,6,6,2,1,5-down,5-2 / Goal Line,1-high,Cover 3,True,4,True,"LB showing blitz,DB walked into box",0.80
End Zone - Clip 003.mp4,238,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 004.mp4,165,3,1,0,3,0,3-down,3-3-5,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 005.mp4,311,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 006.mp4,207,6,3,0,5,1,3-down,3-4,1-high,Cover 3,False,2,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 007.mp4,257,1,1,0,1,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 008.mp4,275,6,5,5,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 009.mp4,360,9,7,7,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 010.mp4,265,3,1,0,3,0,3-down,3-3-5,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 011.mp4,286,6,3,6,0,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,5,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 012.mp4,180,8,7,0,8,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),DB walked into box",0.70
End Zone - Clip 014.mp4,180,8,6,6,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 015.mp4,187,6,6,5,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,1,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 016.mp4,178,9,5,5,4,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.80
End Zone - Clip 017.mp4,341,4,1,4,0,0,4-down,4-1-6 (Dime),0-high,Cover 0,False,4,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 018.mp4,147,4,1,3,0,1,3-down,3-2-6,1-high,Cover 3,True,2,False,DB walked into box,0.70
End Zone - Clip 019.mp4,135,4,3,2,1,1,3-down,3-2-6,1-high,Cover 3,True,1,False,,0.60
End Zone - Clip 020.mp4,242,2,2,1,1,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 021.mp4,227,6,3,3,2,1,3-down,3-2-6,1-high,Cover 3,False,4,False,DB walked into box,0.70
End Zone - Clip 022.mp4,237,11,8,0,9,2,3-down,3-4,2-high,Cover 4,False,0,False,8+ in box,0.90
End Zone - Clip 023.mp4,147,6,6,6,0,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,0,False,No deep safety (Cover 0),0.60
End Zone - Clip 024.mp4,214,4,3,4,0,0,4-down,4-1-6 (Dime),0-high,Cover 0,False,2,False,No deep safety (Cover 0),0.60
End Zone - Clip 026.mp4,228,6,4,0,5,1,3-down,3-4,1-high,Cover 3,False,2,False,DB walked into box,0.60
End Zone - Clip 028.mp4,344,9,5,6,3,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,5,True,"No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 029.mp4,160,1,1,1,0,0,3-down,3-2-6,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 030.mp4,117,1,0,0,1,0,3-down,3-2-6,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 031.mp4,320,5,2,0,5,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 032.mp4,237,2,0,0,0,2,3-down,3-2-6,robber,Cover 3,False,0,False,,0.60
End Zone - Clip 033.mp4,235,7,3,0,5,2,3-down,3-4,2-high,Cover 2,False,0,True,"LB showing blitz,DB walked into box",0.60
End Zone - Clip 034.mp4,673,13,3,1,8,4,3-down,3-4,robber,Cover 3,False,0,False,LB showing blitz,0.80
End Zone - Clip 035.mp4,396,8,7,5,3,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,3,True,"No deep safety (Cover 0),LB showing blitz",0.80
End Zone - Clip 036.mp4,433,1,1,0,1,0,3-down,3-2-6,0-high,Cover 0,False,0,False,No deep safety (Cover 0),0.50
End Zone - Clip 037.mp4,132,5,4,1,4,0,3-down,3-4,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 038.mp4,316,6,3,4,2,0,4-down,4-2-5 (Nickel),0-high,Cover 0,False,3,True,"No deep safety (Cover 0),DB walked into box",0.60
End Zone - Clip 039.mp4,237,4,2,2,2,0,3-down,3-2-6,0-high,Cover 0,False,2,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 040.mp4,280,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 041.mp4,268,7,3,0,6,1,3-down,3-4,1-high,Cover 3,False,0,False,DB walked into box,0.60
End Zone - Clip 043.mp4,288,2,0,0,1,1,3-down,3-2-6,1-high,Cover 3,False,0,False,DB walked into box,0.60
