clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 001.mp4,390,,,DEFENSE,DL,3-tech,0.189,True,False,0.167,Elite,,,Elite
End Zone - Clip 001.mp4,472,,,DEFENSE,S,Deep half,0.289,True,False,,,,,Average
End Zone - Clip 001.mp4,569,,,DEFENSE,EDGE,DE (down),0.172,True,False,,,,,Average
End Zone - Clip 001.mp4,588,,,DEFENSE,DL,3-tech,0.188,True,False,0.133,Elite,,,Elite
End Zone - Clip 001.mp4,617,,,DEFENSE,EDGE,DE (down),0.137,False,False,,,,,Average
End Zone - Clip 001.mp4,615,,,DEFENSE,EDGE,DE (down),0.147,True,False,0.234,Above Average,,,Above Average
End Zone - Clip 001.mp4,625,,,DEFENSE,EDGE,DE (down),0.179,False,False,0.033,Elite,,,Elite
End Zone - Clip 001.mp4,633,,,DEFENSE,DL,3-tech,0.002,True,True,,,,,Average
End Zone - Clip 001.mp4,649,,,DEFENSE,DL,1-tech,0.188,True,False,0.167,Elite,,,Elite
End Zone - Clip 002.mp4,1188,,,DEFENSE,DL,1-tech,0.016,True,True,,,,,Average
End Zone - Clip 002.mp4,1391,,,DEFENSE,EDGE,DE (down),0.104,True,False,,,,,Average
End Zone - Clip 002.mp4,1446,,,DEFENSE,DL,0-tech (Nose),0.111,True,False,0.334,Average,,,Average
End Zone - Clip 002.mp4,1450,,,DEFENSE,DL,0-tech (Nose),0.055,True,False,,,,,Average
End Zone - Clip 002.mp4,1482,,,DEFENSE,LB,WILL (weak),0.120,True,False,,,,,Average
End Zone - Clip 002.mp4,1483,,,DEFENSE,EDGE,DE (down),0.108,False,False,0.234,Above Average,,,Above Average
End Zone - Clip 002.mp4,1488,,,DEFENSE,DL,3-tech,0.109,True,False,0.100,Elite,,,Elite
End Zone - Clip 002.mp4,1490,,,DEFENSE,DL,5-tech,0.067,True,False,0.033,Elite,,,Elite
End Zone - Clip 002.mp4,1491,,,DEFENSE,EDGE,DE (down),0.084,False,False,,,,,Average
End Zone - Clip 004.mp4,2256,,,DEFENSE,S,Deep half,0.373,False,False,0.033,Elite,,0.073,Elite
End Zone - Clip 004.mp4,2387,,,DEFENSE,S,Strong Safety,0.361,True,False,0.033,Elite,,0.049,Elite
End Zone - Clip 004.mp4,2392,,,DEFENSE,CB,Deep,0.390,False,False,0.033,Elite,,0.004,Elite
End Zone - Clip 006.mp4,2758,,,DEFENSE,DL,3-tech,0.016,True,True,,,,,Average
End Zone - Clip 006.mp4,3123,,,DEFENSE,EDGE,DE (down),0.020,True,True,0.067,Elite,,,Elite
End Zone - Clip 006.mp4,3122,,,DEFENSE,LB,WILL (weak),0.105,True,False,0.133,Elite,,,Elite
End Zone - Clip 006.mp4,3133,,,DEFENSE,EDGE,DE (down),0.016,False,True,0.200,Above Average,,,Above Average
End Zone - Clip 006.mp4,3150,,,DEFENSE,DL,0-tech (Nose),0.010,True,True,0.033,Elite,,,Elite
End Zone - Clip 006.mp4,3218,,,DEFENSE,EDGE,DE (down),0.003,False,True,0.067,Elite,,,Elite
End Zone - Clip 007.mp4,3480,,,DEFENSE,LB,SAM (strong),0.030,True,False,0.267,Above Average,,,Above Average
End Zone - Clip 008.mp4,4230,,,DEFENSE,LB,SAM (strong),0.141,True,False,0.033,Elite,,,Elite
End Zone - Clip 008.mp4,4244,,,DEFENSE,LB,MIKE (middle),0.150,True,False,0.234,Elite,,,Elite
End Zone - Clip 008.mp4,4248,,,DEFENSE,LB,SAM (strong),0.138,True,False,0.033,Elite,,,Elite
End Zone - Clip 008.mp4,4289,,,DEFENSE,S,Strong Safety,0.268,True,False,0.567,Below Average,,0.019,Below Average
End Zone - Clip 008.mp4,4306,,,DEFENSE,LB,WILL (weak),0.144,True,False,0.067,Elite,,,Elite
End Zone - Clip 008.mp4,4324,,,DEFENSE,CB,Deep,0.160,False,False,0.067,Elite,,0.145,Elite
End Zone - Clip 009.mp4,4345,,,DEFENSE,DL,5-tech,0.026,True,True,0.133,Elite,,,Elite
End Zone - Clip 009.mp4,4262,,,DEFENSE,EDGE,DE (down),0.023,True,True,0.267,Above Average,,,Above Average
End Zone - Clip 009.mp4,4380,,,DEFENSE,CB,Deep,0.178,False,False,0.934,Developmental,,0.007,Below Average
End Zone - Clip 009.mp4,4409,,,DEFENSE,DL,0-tech (Nose),0.024,True,True,0.334,Average,,,Average
End Zone - Clip 009.mp4,4411,,,DEFENSE,DL,0-tech (Nose),0.024,True,True,0.334,Average,,,Average
End Zone - Clip 009.mp4,4467,,,DEFENSE,LB,SAM (strong),0.050,True,False,0.167,Elite,,,Elite
End Zone - Clip 009.mp4,4489,,,DEFENSE,DL,5-tech,0.019,True,True,0.100,Elite,,,Elite
End Zone - Clip 009.mp4,4496,,,DEFENSE,LB,WILL (weak),0.031,True,False,0.100,Elite,,,Elite
End Zone - Clip 009.mp4,4519,,,DEFENSE,CB,Press,0.075,False,False,0.500,Below Average,,0.024,Below Average
