jersey_number,team,first_step_avg,plays,first_step_best,first_step_rank
78.0,BRUSH,0.17581818181818182,22,0.033,1
42.0,BRUSH,0.17777777777777778,9,0.067,2
14.0,BRUSH,0.179125,8,0.033,3
23.0,BRUSH,0.19175,16,0.033,4
51.0,BRUSH,0.19462500000000002,24,0.033,5
22.0,BRUSH,0.19644444444444445,9,0.033,6
74.0,BRUSH,0.2047142857142857,7,0.067,7
66.0,BRUSH,0.20633333333333334,21,0.033,8
24.0,BRUSH,0.21133333333333335,12,0.033,9
48.0,BRUSH,0.21133333333333335,3,0.167,10
30.0,BRUSH,0.21518181818181817,11,0.033,11
60.0,BRUSH,0.2152727272727273,11,0.033,12
54.0,BRUSH,0.21621212121212124,33,0.033,13
68.0,BRUSH,0.21675,4,0.1,14
53.0,BRUSH,0.21675,4,0.067,15
85.0,BRUSH,0.2266,5,0.167,16
5.0,BRUSH,0.22826923076923078,26,0.033,17
76.0,BRUSH,0.2333333333333333,6,0.1,18
15.0,BRUSH,0.2375,8,0.033,19
10.0,BRUSH,0.245875,8,0.067,20
77.0,BRUSH,0.250125,8,0.033,21
63.0,BRUSH,0.25575,12,0.067,22
52.0,BRUSH,0.2637555555555556,45,0.033,23
61.0,BRUSH,0.2650952380952381,21,0.033,24
18.0,BRUSH,0.26555555555555554,27,0.033,25
37.0,BRUSH,0.26666666666666666,3,0.033,26
80.0,BRUSH,0.26675,4,0.133,27
26.0,BRUSH,0.27165000000000006,20,0.033,28
50.0,BRUSH,0.2717560975609756,41,0.033,29
19.0,BRUSH,0.2778333333333333,12,0.033,30
81.0,BRUSH,0.2778333333333333,6,0.167,31
72.0,BRUSH,0.27999999999999997,5,0.067,32
36.0,BRUSH,0.28500000000000003,20,0.033,33
40.0,BRUSH,0.28511111111111115,9,0.033,34
32.0,BRUSH,0.28700000000000003,10,0.067,35
2.0,BRUSH,0.28891666666666665,24,0.067,36
57.0,BRUSH,0.28900000000000003,3,0.167,37
12.0,BRUSH,0.2890625,48,0.033,38
56.0,BRUSH,0.2912439024390244,41,0.033,39
86.0,BRUSH,0.3,6,0.133,40
75.0,BRUSH,0.30000000000000004,4,0.1,41
45.0,BRUSH,0.30033333333333334,3,0.067,42
20.0,BRUSH,0.3019814814814815,54,0.033,43
35.0,BRUSH,0.31666666666666665,6,0.033,44
21.0,BRUSH,0.3266,5,0.1,45
4.0,BRUSH,0.33490000000000003,20,0.067,46
47.0,BRUSH,0.33699999999999997,9,0.167,47
8.0,BRUSH,0.3472352941176471,17,0.033,48
9.0,BRUSH,0.3501666666666667,6,0.067,49
6.0,BRUSH,0.357,17,0.033,50
33.0,BRUSH,0.35813333333333336,15,0.033,51
29.0,BRUSH,0.36,10,0.133,52
7.0,BRUSH,0.36673333333333336,15,0.067,53
13.0,BRUSH,0.36823999999999996,25,0.033,54
3.0,BRUSH,0.38284,25,0.033,55
58.0,BRUSH,0.3861538461538461,26,0.067,56
16.0,BRUSH,0.39856521739130435,23,0.033,57
25.0,BRUSH,0.4000689655172414,29,0.033,58
62.0,BRUSH,0.41700000000000004,4,0.234,59
65.0,BRUSH,0.4316315789473684,19,0.033,60
96.0,BRUSH,0.4335,4,0.133,61
28.0,BRUSH,0.44581481481481483,27,0.033,62
70.0,BRUSH,0.46675,4,0.167,63
39.0,BRUSH,0.5058333333333334,6,0.2,64
73.0,BRUSH,0.5250833333333333,12,0.067,65
34.0,BRUSH,0.5415,4,0.033,66
44.0,BRUSH,0.543875,16,0.1,67
38.0,BRUSH,0.551888888888889,9,0.033,68
55.0,BRUSH,0.5598695652173913,23,0.033,69
1.0,BRUSH,0.6458571428571428,14,0.067,70
83.0,BRUSH,0.7056666666666667,6,0.2,71
43.0,BRUSH,1.0342727272727272,11,0.033,72
27.0,BRUSH,1.1243636363636365,11,0.067,73
46.0,BRUSH,1.9600000000000002,5,0.567,74
