clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
Wide - Clip 001.mp4,17,,,DEFENSE,CB,Deep,0.419,False,False,0.133,Elite,,0.018,Elite
Wide - Clip 001.mp4,18,,,DEFENSE,S,Deep half,0.433,False,False,0.167,Elite,,0.049,Elite
Wide - Clip 001.mp4,88,,,DEFENSE,S,Strong Safety,0.423,True,False,0.200,Elite,,0.049,Elite
Wide - Clip 001.mp4,151,,,DEFENSE,S,Deep half,0.428,False,False,0.167,Elite,,0.056,Elite
Wide - Clip 001.mp4,169,,,DEFENSE,S,Deep half,0.427,True,False,0.167,Elite,,0.047,Elite
Wide - Clip 001.mp4,194,,,DEFENSE,S,Strong Safety,0.422,True,False,0.200,Elite,,0.045,Elite
Wide - Clip 002.mp4,277,,,DEFENSE,DL,0-tech (Nose),0.025,True,True,0.500,Below Average,,,Below Average
Wide - Clip 002.mp4,508,,,DEFENSE,EDGE,DE (down),0.091,False,False,0.433,Below Average,0.092,,Average
Wide - Clip 002.mp4,510,,,DEFENSE,EDGE,DE (down),0.098,False,False,0.300,Above Average,0.079,,Above Average
Wide - Clip 002.mp4,527,,,DEFENSE,S,Deep half,0.345,True,False,0.200,Elite,,0.024,Elite
Wide - Clip 002.mp4,533,,,DEFENSE,S,Strong Safety,0.434,True,False,0.200,Elite,,0.035,Elite
Wide - Clip 002.mp4,579,,,DEFENSE,S,Strong Safety,0.463,True,False,0.100,Elite,,0.009,Elite
Wide - Clip 002.mp4,581,,,DEFENSE,S,Deep half,0.436,False,False,0.167,Elite,,0.054,Elite
Wide - Clip 002.mp4,590,,,DEFENSE,EDGE,DE (down),0.045,True,False,,,,,Average
Wide - Clip 002.mp4,609,,,DEFENSE,S,Strong Safety,0.428,True,False,0.433,Average,,0.046,Average
Wide - Clip 002.mp4,614,,,DEFENSE,EDGE,DE (down),0.100,False,False,0.067,Elite,0.122,,Elite
Wide - Clip 002.mp4,639,,,DEFENSE,S,Strong Safety,0.344,True,False,,,,0.001,Average
Wide - Clip 002.mp4,659,,,DEFENSE,CB,Deep,0.438,False,False,,,,,Average
Wide - Clip 002.mp4,674,,,DEFENSE,S,Free Safety (centerfield),0.220,True,False,0.167,Elite,,0.007,Elite
Wide - Clip 003.mp4,527,,,DEFENSE,S,Strong Safety,0.329,True,False,0.267,Above Average,,0.066,Above Average
Wide - Clip 003.mp4,614,,,DEFENSE,EDGE,DE (down),0.011,False,True,0.100,Elite,0.011,,Elite
Wide - Clip 003.mp4,771,,,DEFENSE,EDGE,DE (down),0.066,True,False,0.167,Elite,,,Elite
