clip_file,frame_num,total_defensive_players,box_count,defenders_on_los,second_level_count,deep_defenders,front,front_description,safety_alignment,coverage_shell,nose_tackle,edge_count,potential_blitz,blitz_indicators,confidence
End Zone - Clip 002.mp4,100,5,2,1,3,1,3-down,3-3-5,1-high,Cover 3,False,1,False,LB showing blitz,0.60
End Zone - Clip 003.mp4,254,8,6,0,6,2,3-down,3-4,2-high,Cover 2,False,0,False,LB showing blitz,0.80
End Zone - Clip 005.mp4,495,2,1,1,1,0,3-down,3-2-6,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 006.mp4,272,1,0,0,1,0,3-down,3-2-6,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 007.mp4,138,3,2,0,3,0,3-down,3-3-5,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz",0.50
End Zone - Clip 008.mp4,276,7,4,6,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,False,4,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 009.mp4,316,3,1,0,2,1,3-down,3-2-6,1-high,Cover 3,False,0,False,,0.60
End Zone - Clip 010.mp4,215,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 012.mp4,238,8,6,1,7,0,3-down,3-4,0-high,Cover 0,True,1,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.70
End Zone - Clip 013.mp4,269,6,6,0,6,0,3-down,3-4,0-high,Cover 0,False,0,True,"No deep safety (Cover 0),LB showing blitz",0.60
End Zone - Clip 015.mp4,132,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 016.mp4,357,10,0,0,0,10,3-down,3-2-6,2-high,Cover 2,False,0,False,,0.80
End Zone - Clip 017.mp4,305,9,8,1,8,0,3-down,3-4,0-high,Cover 0,True,0,True,"8+ in box,No deep safety (Cover 0),LB showing blitz",0.70
End Zone - Clip 018.mp4,348,3,2,1,2,0,3-down,3-2-6,0-high,Cover 0,False,1,True,"No deep safety (Cover 0),LB showing blitz,DB walked into box",0.50
End Zone - Clip 019.mp4,293,14,9,13,1,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,6,True,"8+ in box,No deep safety (Cover 0),DB walked into box",0.80
End Zone - Clip 020.mp4,255,12,9,0,10,2,3-down,3-4,2-high,Cover 4,False,0,False,8+ in box,0.90
End Zone - Clip 021.mp4,514,0,0,0,0,0,unknown,,unknown,Unknown,False,0,False,,0.00
End Zone - Clip 022.mp4,208,12,9,10,2,0,5-down,5-2 / Goal Line,0-high,Cover 0,True,6,True,"8+ in box,No deep safety (Cover 0),DB walked into box",0.80
End Zone - Clip 023.mp4,350,4,3,2,2,0,3-down,3-2-6,0-high,Cover 0,False,2,True,"No deep safety (Cover 0),DB walked into box",0.50
End Zone - Clip 024.mp4,313,6,0,1,1,4,3-down,3-2-6,2-high,Cover 2,False,1,False,DB walked into box,0.60
