clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 002.mp4,1,,,DEFENSE,CB,Deep,0.272,False,False,0.033,Elite,,0.068,Elite
End Zone - Clip 002.mp4,173,,,DEFENSE,EDGE,DE (down),0.020,False,True,0.033,Elite,,,Elite
End Zone - Clip 002.mp4,180,,,DEFENSE,EDGE,OLB (up),0.041,False,False,0.033,Elite,,,Elite
End Zone - Clip 002.mp4,199,,,DEFENSE,DL,5-tech,0.019,True,True,0.067,Elite,,,Elite
End Zone - Clip 002.mp4,198,,,DEFENSE,DL,5-tech,0.030,True,True,0.133,Elite,,,Elite
End Zone - Clip 003.mp4,330,,,DEFENSE,DL,5-tech,0.109,True,False,,,,,Average
End Zone - Clip 003.mp4,413,,,DEFENSE,DL,0-tech (Nose),0.111,True,False,0.234,Above Average,0.137,,Above Average
End Zone - Clip 003.mp4,440,,,DEFENSE,DL,0-tech (Nose),0.091,True,False,0.234,Above Average,,,Above Average
End Zone - Clip 003.mp4,559,,,DEFENSE,EDGE,DE (down),0.026,False,True,0.033,Elite,,,Elite
End Zone - Clip 003.mp4,560,,,DEFENSE,DL,3-tech,0.142,True,False,0.367,Average,0.127,,Average
End Zone - Clip 003.mp4,561,,,DEFENSE,EDGE,DE (down),0.022,False,True,,,,,Average
End Zone - Clip 003.mp4,612,,,DEFENSE,DL,1-tech,0.096,True,False,,,,,Average
End Zone - Clip 003.mp4,620,,,DEFENSE,DL,1-tech,0.091,True,False,0.234,Above Average,,,Above Average
End Zone - Clip 005.mp4,770,,,DEFENSE,CB,Off (5-7 yards),0.107,False,False,0.968,Developmental,,0.011,Below Average
End Zone - Clip 005.mp4,859,,,DEFENSE,LB,SAM (strong),0.066,True,False,0.234,Elite,,,Elite
End Zone - Clip 006.mp4,1211,,,DEFENSE,CB,Off (5-7 yards),0.109,False,False,1.401,Developmental,,0.003,Below Average
End Zone - Clip 007.mp4,1461,,,DEFENSE,EDGE,DE (down),0.002,True,True,0.033,Elite,,,Elite
End Zone - Clip 007.mp4,1434,,,DEFENSE,CB,Press,0.052,False,False,0.033,Elite,,0.010,Elite
End Zone - Clip 007.mp4,1483,,,DEFENSE,DL,0-tech (Nose),0.020,True,True,0.033,Elite,0.016,,Elite
End Zone - Clip 008.mp4,1551,,,DEFENSE,EDGE,DE (down),0.026,False,True,0.167,Elite,,,Elite
End Zone - Clip 008.mp4,1719,,,DEFENSE,DL,1-tech,0.007,True,True,0.100,Elite,,,Elite
End Zone - Clip 008.mp4,1730,,,DEFENSE,DL,3-tech,0.033,True,False,0.133,Elite,,,Elite
End Zone - Clip 008.mp4,1749,,,DEFENSE,EDGE,DE (down),0.050,False,False,0.234,Above Average,0.064,,Above Average
End Zone - Clip 008.mp4,1756,,,DEFENSE,DL,0-tech (Nose),0.017,True,True,0.067,Elite,,,Elite
End Zone - Clip 008.mp4,1782,,,DEFENSE,EDGE,DE (down),0.028,False,True,0.033,Elite,,,Elite
End Zone - Clip 008.mp4,1802,,,DEFENSE,EDGE,DE (down),0.035,True,False,0.167,Elite,,,Elite
