clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 001.mp4,1,,,DEFENSE,UNKNOWN,,0.175,True,False,1.235,Developmental,,,Below Average
End Zone - Clip 002.mp4,48,,,DEFENSE,LB,WILL (weak),0.123,True,False,0.067,Elite,,,Elite
End Zone - Clip 004.mp4,404,,,DEFENSE,DL,0-tech (Nose),0.010,True,True,0.167,Elite,,,Elite
End Zone - Clip 004.mp4,414,,,DEFENSE,EDGE,OLB (up),0.034,False,False,,,,,Average
End Zone - Clip 004.mp4,406,,,DEFENSE,EDGE,OLB (up),0.050,True,False,,,,,Average
End Zone - Clip 004.mp4,413,,,DEFENSE,EDGE,DE (down),0.020,False,True,0.567,Developmental,,,Below Average
End Zone - Clip 004.mp4,419,,,DEFENSE,LB,MIKE (middle),0.110,True,False,0.567,Below Average,,,Below Average
End Zone - Clip 004.mp4,448,,,DEFENSE,DL,0-tech (Nose),0.015,True,True,,,,,Average
End Zone - Clip 004.mp4,479,,,DEFENSE,EDGE,DE (down),0.003,True,True,0.234,Above Average,,,Above Average
End Zone - Clip 004.mp4,491,,,DEFENSE,S,Deep half,0.240,False,False,0.367,Average,,0.043,Average
End Zone - Clip 004.mp4,508,,,DEFENSE,EDGE,DE (down),0.000,False,True,0.567,Developmental,0.001,,Below Average
End Zone - Clip 004.mp4,510,,,DEFENSE,DL,0-tech (Nose),0.022,True,True,,,,,Average
End Zone - Clip 005.mp4,733,,,DEFENSE,CB,Deep,0.338,False,False,0.067,Elite,,0.033,Elite
End Zone - Clip 005.mp4,737,,,DEFENSE,CB,Press,0.053,False,False,0.067,Elite,,0.116,Elite
End Zone - Clip 005.mp4,781,,,DEFENSE,EDGE,OLB (up),0.049,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 005.mp4,863,,,DEFENSE,LB,SAM (strong),0.093,True,False,0.067,Elite,,,Elite
End Zone - Clip 005.mp4,868,,,DEFENSE,UNKNOWN,,0.171,True,False,0.133,Elite,,,Elite
End Zone - Clip 006.mp4,1140,,,DEFENSE,S,Deep half,0.445,False,False,0.167,Elite,,0.095,Elite
End Zone - Clip 006.mp4,1149,,,DEFENSE,SLOT,Nickel/Slot,0.094,False,False,,,,0.001,Average
End Zone - Clip 006.mp4,1247,,,DEFENSE,LB,WILL (weak),0.092,True,False,,,,,Average
End Zone - Clip 006.mp4,1263,,,DEFENSE,LB,WILL (weak),0.101,True,False,,,,,Average
End Zone - Clip 006.mp4,1286,,,DEFENSE,UNKNOWN,,0.152,True,False,0.100,Elite,,,Elite
End Zone - Clip 006.mp4,1333,,,DEFENSE,CB,Off (5-7 yards),0.129,False,False,0.033,Elite,,0.044,Elite
End Zone - Clip 006.mp4,1351,,,DEFENSE,LB,SAM (strong),0.091,True,False,0.067,Elite,,,Elite
End Zone - Clip 007.mp4,1805,,,DEFENSE,CB,Off (5-7 yards),0.139,False,False,0.200,Elite,,0.070,Elite
End Zone - Clip 007.mp4,1854,,,DEFENSE,LB,MIKE (middle),0.137,True,False,0.200,Elite,,,Elite
End Zone - Clip 007.mp4,1857,,,DEFENSE,EDGE,DE (down),0.016,False,True,0.200,Above Average,,,Above Average
End Zone - Clip 007.mp4,1860,,,DEFENSE,DL,3-tech,0.010,True,True,0.400,Below Average,0.018,,Below Average
End Zone - Clip 007.mp4,1865,,,DEFENSE,LB,MIKE (middle),0.135,True,False,0.100,Elite,,,Elite
End Zone - Clip 008.mp4,2439,,,DEFENSE,EDGE,OLB (up),0.045,False,False,0.167,Elite,,,Elite
End Zone - Clip 008.mp4,2514,,,DEFENSE,EDGE,OLB (up),0.035,True,False,0.067,Elite,,,Elite
End Zone - Clip 008.mp4,2548,,,DEFENSE,EDGE,OLB (up),0.048,False,False,1.001,Developmental,,,Below Average
End Zone - Clip 008.mp4,2566,,,DEFENSE,LB,WILL (weak),0.052,True,False,,,,,Average
End Zone - Clip 008.mp4,2596,,,DEFENSE,EDGE,OLB (up),0.048,False,False,,,,,Average
End Zone - Clip 009.mp4,2680,,,DEFENSE,UNKNOWN,,0.192,True,False,0.100,Elite,,,Elite
End Zone - Clip 009.mp4,2860,,,DEFENSE,LB,WILL (weak),0.043,True,False,0.067,Elite,,,Elite
End Zone - Clip 009.mp4,2928,,,DEFENSE,CB,Off (5-7 yards),0.138,False,False,0.067,Elite,,0.076,Elite
End Zone - Clip 010.mp4,2941,,,DEFENSE,DL,3-tech,0.003,True,True,0.367,Average,0.003,,Average
End Zone - Clip 010.mp4,2953,,,DEFENSE,CB,Deep,0.152,False,False,0.634,Below Average,,0.015,Below Average
End Zone - Clip 010.mp4,2954,,,DEFENSE,UNKNOWN,,0.173,False,False,,,,,Average
End Zone - Clip 010.mp4,2955,,,DEFENSE,EDGE,DE (down),0.002,True,True,,,,,Average
End Zone - Clip 010.mp4,2960,,,DEFENSE,DL,0-tech (Nose),0.002,True,True,0.300,Average,,,Average
End Zone - Clip 010.mp4,2959,,,DEFENSE,EDGE,DE (down),0.003,False,True,0.667,Developmental,,,Below Average
End Zone - Clip 010.mp4,2989,,,DEFENSE,DL,1-tech,0.010,True,True,0.667,Developmental,0.008,,Below Average
End Zone - Clip 010.mp4,3007,,,DEFENSE,LB,MIKE (middle),0.036,True,False,0.100,Elite,,,Elite
End Zone - Clip 010.mp4,3015,,,DEFENSE,EDGE,DE (down),0.031,False,False,,,0.030,,Average
End Zone - Clip 010.mp4,3023,,,DEFENSE,DL,5-tech,0.003,True,True,0.267,Above Average,0.018,,Above Average
End Zone - Clip 010.mp4,3039,,,DEFENSE,DL,5-tech,0.031,True,False,,,,,Average
End Zone - Clip 010.mp4,3050,,,DEFENSE,DL,0-tech (Nose),0.010,True,True,,,,,Average
End Zone - Clip 011.mp4,3064,,,DEFENSE,CB,Off (5-7 yards),0.111,False,False,0.100,Elite,,0.010,Elite
