clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
Wide - Clip 001.mp4,21,,,DEFENSE,S,Strong Safety,0.435,True,False,0.400,Average,,0.004,Average
Wide - Clip 001.mp4,167,,,DEFENSE,CB,Deep,0.282,False,False,0.300,Above Average,,0.012,Above Average
Wide - Clip 001.mp4,170,,,DEFENSE,CB,Deep,0.425,False,False,0.633,Below Average,,0.013,Below Average
Wide - Clip 002.mp4,272,,,DEFENSE,S,Strong Safety,0.428,True,False,0.267,Above Average,,0.066,Above Average
Wide - Clip 002.mp4,381,,,DEFENSE,S,Deep half,0.431,False,False,0.200,Elite,,0.081,Elite
Wide - Clip 002.mp4,382,,,DEFENSE,S,Deep half,0.430,False,False,0.200,Elite,,0.077,Elite
Wide - Clip 002.mp4,395,,,DEFENSE,SLOT,Nickel/Slot,0.103,False,False,0.067,Elite,,0.061,Elite
Wide - Clip 002.mp4,429,82,,DEFENSE,S,Strong Safety,0.416,True,False,0.200,Elite,,0.024,Elite
Wide - Clip 002.mp4,503,,,DEFENSE,S,Deep half,0.406,True,False,0.200,Elite,,0.074,Elite
Wide - Clip 002.mp4,507,,,DEFENSE,DL,5-tech,0.021,True,True,0.133,Elite,,,Elite
Wide - Clip 002.mp4,510,,,DEFENSE,DL,3-tech,0.021,True,True,0.267,Above Average,,,Above Average
Wide - Clip 002.mp4,530,,,DEFENSE,SLOT,Nickel/Slot,0.108,False,False,0.167,Elite,,0.049,Elite
Wide - Clip 002.mp4,544,,,DEFENSE,CB,Deep,0.276,False,False,0.200,Elite,,0.090,Elite
Wide - Clip 002.mp4,560,,,DEFENSE,CB,Deep,0.270,False,False,0.200,Elite,,0.092,Elite
Wide - Clip 002.mp4,572,,,DEFENSE,LB,SAM (strong),0.030,True,False,,,,,Average
Wide - Clip 002.mp4,578,52,,DEFENSE,S,Free Safety (centerfield),0.410,True,False,0.233,Elite,,0.028,Elite
Wide - Clip 002.mp4,582,,,DEFENSE,CB,Deep,0.258,False,False,0.200,Elite,,0.094,Elite
Wide - Clip 002.mp4,587,,,DEFENSE,EDGE,OLB (up),0.031,False,False,0.100,Elite,,,Elite
Wide - Clip 002.mp4,594,,,DEFENSE,S,Strong Safety,0.410,True,False,0.200,Elite,,0.070,Elite
Wide - Clip 002.mp4,596,,,DEFENSE,LB,SAM (strong),0.033,True,False,0.333,Above Average,,,Above Average
Wide - Clip 002.mp4,599,,,DEFENSE,DL,0-tech (Nose),0.011,True,True,0.233,Above Average,,,Above Average
Wide - Clip 003.mp4,824,,,DEFENSE,S,Deep half,0.384,False,False,0.200,Elite,,0.074,Elite
Wide - Clip 003.mp4,752,,,DEFENSE,S,Deep half,0.386,True,False,0.200,Elite,,0.071,Elite
Wide - Clip 003.mp4,825,3,,DEFENSE,S,Strong Safety,0.330,True,False,0.200,Elite,,0.062,Elite
Wide - Clip 003.mp4,835,,,DEFENSE,SLOT,Nickel/Slot,0.095,False,False,0.367,Average,,0.042,Average
Wide - Clip 003.mp4,834,3,,DEFENSE,S,Strong Safety,0.353,True,False,0.267,Above Average,,0.050,Above Average
Wide - Clip 003.mp4,947,82,,DEFENSE,S,Strong Safety,0.317,True,False,0.233,Elite,,0.067,Elite
Wide - Clip 003.mp4,962,70,,DEFENSE,S,Free Safety (centerfield),0.342,True,False,0.267,Above Average,,0.067,Above Average
Wide - Clip 003.mp4,1028,,,DEFENSE,LB,SAM (strong),0.054,True,False,0.333,Above Average,,,Above Average
Wide - Clip 003.mp4,1038,,,DEFENSE,S,Deep half,0.227,False,False,0.200,Elite,,0.083,Elite
Wide - Clip 003.mp4,1051,,,DEFENSE,CB,Deep,0.227,False,False,0.167,Elite,,0.085,Elite
Wide - Clip 003.mp4,1058,,,DEFENSE,CB,Deep,0.216,False,False,0.267,Above Average,,0.091,Above Average
Wide - Clip 003.mp4,1156,,,DEFENSE,CB,Off (5-7 yards),0.109,False,False,0.133,Elite,,0.048,Elite
Wide - Clip 003.mp4,1195,57,,DEFENSE,S,Deep half,0.414,False,False,0.633,Below Average,,0.032,Below Average
Wide - Clip 003.mp4,1196,,,DEFENSE,CB,Deep,0.197,False,False,0.233,Elite,,0.078,Elite
Wide - Clip 003.mp4,1197,21,,DEFENSE,S,Strong Safety,0.340,True,False,0.100,Elite,,0.005,Elite
Wide - Clip 004.mp4,2100,,,DEFENSE,S,Deep half,0.290,True,False,0.333,Above Average,,0.021,Above Average
Wide - Clip 004.mp4,2127,,,DEFENSE,CB,Deep,0.387,False,False,0.133,Elite,,0.095,Elite
Wide - Clip 004.mp4,2157,,,DEFENSE,S,Deep half,0.410,False,False,,,,,Average
Wide - Clip 004.mp4,2182,,,DEFENSE,S,Strong Safety,0.285,True,False,0.233,Elite,,0.051,Elite
Wide - Clip 004.mp4,2190,,,DEFENSE,S,Strong Safety,0.300,True,False,0.167,Elite,,0.107,Elite
Wide - Clip 004.mp4,2194,57,,DEFENSE,S,Free Safety (centerfield),0.276,True,False,0.367,Average,,0.052,Average
Wide - Clip 004.mp4,2208,,,DEFENSE,S,Strong Safety,0.269,True,False,0.500,Average,,0.042,Average
Wide - Clip 005.mp4,2444,,,DEFENSE,S,Deep half,0.443,False,False,0.233,Elite,,0.063,Elite
Wide - Clip 005.mp4,2534,21,,DEFENSE,S,Deep half,0.398,False,False,0.233,Elite,,0.065,Elite
Wide - Clip 005.mp4,2653,75,,DEFENSE,S,Strong Safety,0.438,True,False,,,,0.005,Average
Wide - Clip 006.mp4,2788,,,DEFENSE,EDGE,DE (down),0.048,True,False,0.133,Elite,,,Elite
Wide - Clip 006.mp4,2791,,,DEFENSE,DL,5-tech,0.018,True,True,0.167,Elite,0.005,,Elite
Wide - Clip 006.mp4,2829,,,DEFENSE,DL,5-tech,0.014,True,True,0.100,Elite,0.033,,Elite
