clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 001.mp4,107,,,DEFENSE,LB,SAM (strong),0.143,True,False,0.033,Elite,,,Elite
End Zone - Clip 001.mp4,112,,,DEFENSE,SLOT,Nickel/Slot,0.094,False,False,0.067,Elite,,0.286,Elite
End Zone - Clip 001.mp4,186,,,DEFENSE,EDGE,DE (down),0.028,True,True,0.300,Average,,,Average
End Zone - Clip 001.mp4,198,,,DEFENSE,EDGE,OLB (up),0.040,False,False,0.067,Elite,,,Elite
End Zone - Clip 001.mp4,202,,,DEFENSE,S,Deep half,0.216,True,False,0.067,Elite,,0.259,Elite
End Zone - Clip 001.mp4,222,,,DEFENSE,S,Free Safety (centerfield),0.453,True,False,0.067,Elite,,0.171,Elite
End Zone - Clip 001.mp4,244,,,DEFENSE,EDGE,DE (down),0.019,False,True,0.033,Elite,,,Elite
End Zone - Clip 001.mp4,245,,,DEFENSE,LB,SAM (strong),0.045,True,False,0.033,Elite,,,Elite
End Zone - Clip 002.mp4,481,,,DEFENSE,UNKNOWN,,0.162,True,False,0.100,Elite,,,Elite
End Zone - Clip 002.mp4,482,,,DEFENSE,EDGE,OLB (up),0.035,True,False,0.100,Elite,,,Elite
End Zone - Clip 002.mp4,483,,,DEFENSE,EDGE,DE (down),0.018,False,True,0.100,Elite,,,Elite
End Zone - Clip 002.mp4,485,,,DEFENSE,EDGE,DE (down),0.012,True,True,0.100,Elite,,,Elite
End Zone - Clip 002.mp4,499,,,DEFENSE,LB,WILL (weak),0.061,True,False,0.100,Elite,,,Elite
End Zone - Clip 002.mp4,516,,,DEFENSE,EDGE,OLB (up),0.040,True,False,0.100,Elite,,,Elite
End Zone - Clip 002.mp4,537,,,DEFENSE,LB,MIKE (middle),0.061,True,False,0.133,Elite,,,Elite
End Zone - Clip 003.mp4,665,,,DEFENSE,DL,5-tech,0.020,True,True,0.133,Elite,,,Elite
End Zone - Clip 003.mp4,481,,,DEFENSE,LB,WILL (weak),0.107,True,False,1.735,Developmental,,,Below Average
End Zone - Clip 003.mp4,772,,,DEFENSE,DL,0-tech (Nose),0.014,True,True,0.067,Elite,,,Elite
End Zone - Clip 003.mp4,775,,,DEFENSE,EDGE,DE (down),0.018,False,True,0.100,Elite,0.029,,Elite
End Zone - Clip 003.mp4,807,,,DEFENSE,DL,3-tech,0.031,True,False,0.300,Average,0.022,,Average
End Zone - Clip 003.mp4,853,,,DEFENSE,EDGE,DE (down),0.051,True,False,0.234,Above Average,,,Above Average
End Zone - Clip 003.mp4,877,,,DEFENSE,DL,5-tech,0.027,True,True,0.200,Above Average,,,Above Average
End Zone - Clip 003.mp4,883,,,DEFENSE,DL,1-tech,0.021,True,True,0.367,Average,,,Average
End Zone - Clip 003.mp4,890,,,DEFENSE,EDGE,DE (down),0.047,False,False,0.067,Elite,,,Elite
End Zone - Clip 003.mp4,889,,,DEFENSE,DL,5-tech,0.029,True,True,0.133,Elite,0.022,,Elite
End Zone - Clip 003.mp4,891,,,DEFENSE,DL,1-tech,0.052,True,False,0.300,Average,,,Average
End Zone - Clip 004.mp4,1204,,,DEFENSE,LB,WILL (weak),0.104,True,False,0.033,Elite,,,Elite
End Zone - Clip 004.mp4,1219,,,DEFENSE,DL,0-tech (Nose),0.018,True,True,0.033,Elite,,,Elite
End Zone - Clip 004.mp4,1290,,,DEFENSE,EDGE,DE (down),0.010,False,True,,,,,Average
End Zone - Clip 004.mp4,1311,,,DEFENSE,DL,0-tech (Nose),0.019,True,True,0.067,Elite,,,Elite
End Zone - Clip 004.mp4,1315,,,DEFENSE,EDGE,DE (down),0.011,False,True,0.033,Elite,,,Elite
End Zone - Clip 004.mp4,1359,,,DEFENSE,DL,1-tech,0.006,True,True,0.334,Average,,,Average
End Zone - Clip 005.mp4,1521,,,DEFENSE,EDGE,OLB (up),0.031,True,False,0.100,Elite,,,Elite
End Zone - Clip 005.mp4,1579,,,DEFENSE,EDGE,DE (down),0.024,False,True,0.067,Elite,,,Elite
End Zone - Clip 005.mp4,1580,,,DEFENSE,LB,SAM (strong),0.125,True,False,0.100,Elite,,,Elite
End Zone - Clip 005.mp4,1606,,,DEFENSE,DL,0-tech (Nose),0.036,True,False,0.067,Elite,,,Elite
End Zone - Clip 005.mp4,1617,,,DEFENSE,DL,3-tech,0.013,True,True,0.067,Elite,,,Elite
