clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 001.mp4,343,,,DEFENSE,LB,SAM (strong),0.076,True,False,0.200,Elite,,,Elite
End Zone - Clip 002.mp4,611,,,DEFENSE,CB,Deep,0.188,False,False,0.033,Elite,,0.094,Elite
End Zone - Clip 002.mp4,658,,,DEFENSE,DL,5-tech,0.009,True,True,0.033,Elite,,,Elite
End Zone - Clip 002.mp4,693,,,DEFENSE,EDGE,OLB (up),0.047,False,False,0.167,Elite,,,Elite
End Zone - Clip 003.mp4,952,,,DEFENSE,DL,1-tech,0.005,True,True,0.033,Elite,,,Elite
End Zone - Clip 003.mp4,1076,,,DEFENSE,LB,MIKE (middle),0.076,True,False,0.167,Elite,,,Elite
End Zone - Clip 003.mp4,1082,,,DEFENSE,DL,1-tech,0.009,True,True,0.200,Above Average,,,Above Average
End Zone - Clip 003.mp4,1126,,,DEFENSE,LB,WILL (weak),0.134,True,False,0.167,Elite,,,Elite
End Zone - Clip 003.mp4,1157,,,DEFENSE,S,Deep half,0.210,True,False,0.267,Above Average,,0.023,Above Average
End Zone - Clip 003.mp4,1190,,,DEFENSE,EDGE,DE (down),0.021,False,True,0.267,Above Average,0.027,,Above Average
End Zone - Clip 003.mp4,1213,,,DEFENSE,EDGE,DE (down),0.015,False,True,0.300,Average,,,Average
End Zone - Clip 003.mp4,1217,,,DEFENSE,EDGE,DE (down),0.005,True,True,1.168,Developmental,,,Below Average
End Zone - Clip 003.mp4,1233,,,DEFENSE,EDGE,OLB (up),0.032,True,False,0.067,Elite,,,Elite
End Zone - Clip 004.mp4,1217,,,DEFENSE,DL,0-tech (Nose),0.066,True,False,0.067,Elite,,,Elite
End Zone - Clip 004.mp4,1318,,,DEFENSE,DL,5-tech,0.137,True,False,0.100,Elite,,,Elite
End Zone - Clip 004.mp4,1357,,,DEFENSE,DL,3-tech,0.149,True,False,0.067,Elite,,,Elite
End Zone - Clip 004.mp4,1430,,,DEFENSE,EDGE,DE (down),0.127,True,False,0.033,Elite,,,Elite
End Zone - Clip 004.mp4,1431,,,DEFENSE,S,Deep half,0.287,False,False,0.067,Elite,,0.017,Elite
End Zone - Clip 004.mp4,1457,,,DEFENSE,DL,1-tech,0.136,True,False,0.100,Elite,,,Elite
End Zone - Clip 004.mp4,1473,,,DEFENSE,DL,0-tech (Nose),0.154,True,False,0.067,Elite,,,Elite
End Zone - Clip 005.mp4,1805,,,DEFENSE,LB,SAM (strong),0.031,True,False,0.100,Elite,,,Elite
End Zone - Clip 005.mp4,1738,,,DEFENSE,DL,1-tech,0.021,True,True,0.133,Elite,,,Elite
End Zone - Clip 005.mp4,1881,,,DEFENSE,EDGE,DE (down),0.020,False,True,0.100,Elite,,,Elite
End Zone - Clip 005.mp4,1883,,,DEFENSE,LB,SAM (strong),0.075,True,False,0.234,Elite,,,Elite
End Zone - Clip 005.mp4,1885,,,DEFENSE,EDGE,DE (down),0.026,False,True,0.100,Elite,,,Elite
End Zone - Clip 005.mp4,1887,,,DEFENSE,DL,5-tech,0.010,True,True,0.133,Elite,,,Elite
End Zone - Clip 005.mp4,1878,,,DEFENSE,DL,5-tech,0.022,True,True,0.033,Elite,,,Elite
End Zone - Clip 005.mp4,1934,,,DEFENSE,LB,WILL (weak),0.047,True,False,0.133,Elite,,,Elite
End Zone - Clip 006.mp4,2084,,,DEFENSE,LB,MIKE (middle),0.094,True,False,0.133,Elite,,,Elite
End Zone - Clip 006.mp4,2110,,,DEFENSE,LB,SAM (strong),0.057,True,False,0.133,Elite,,,Elite
End Zone - Clip 006.mp4,2135,,,DEFENSE,LB,WILL (weak),0.061,True,False,0.200,Elite,,,Elite
End Zone - Clip 006.mp4,2208,,,DEFENSE,EDGE,OLB (up),0.045,True,False,0.100,Elite,0.035,,Elite
End Zone - Clip 006.mp4,2211,,,DEFENSE,LB,MIKE (middle),0.054,True,False,0.801,Developmental,,,Below Average
End Zone - Clip 006.mp4,2222,,,DEFENSE,LB,SAM (strong),0.064,True,False,0.100,Elite,,,Elite
End Zone - Clip 007.mp4,2332,,,DEFENSE,LB,SAM (strong),0.076,True,False,0.133,Elite,,,Elite
End Zone - Clip 007.mp4,2398,,,DEFENSE,CB,Off (5-7 yards),0.124,False,False,0.100,Elite,,0.003,Elite
End Zone - Clip 007.mp4,2420,,,DEFENSE,CB,Press,0.062,False,False,0.133,Elite,,0.008,Elite
End Zone - Clip 008.mp4,2745,,,DEFENSE,DL,0-tech (Nose),0.027,True,True,0.033,Elite,,,Elite
End Zone - Clip 008.mp4,2752,,,DEFENSE,DL,3-tech,0.022,True,True,0.067,Elite,,,Elite
End Zone - Clip 008.mp4,2751,,,DEFENSE,LB,SAM (strong),0.045,True,False,0.033,Elite,,,Elite
End Zone - Clip 008.mp4,2822,,,DEFENSE,LB,SAM (strong),0.044,True,False,0.067,Elite,,,Elite
End Zone - Clip 008.mp4,2859,,,DEFENSE,EDGE,OLB (up),0.032,False,False,,,,,Average
End Zone - Clip 008.mp4,2871,,,DEFENSE,DL,1-tech,0.022,True,True,0.033,Elite,,,Elite
End Zone - Clip 009.mp4,3437,,,DEFENSE,DL,3-tech,0.023,True,True,0.067,Elite,0.059,,Elite
End Zone - Clip 009.mp4,3527,,,DEFENSE,EDGE,DE (down),0.019,True,True,0.100,Elite,,,Elite
End Zone - Clip 009.mp4,3565,,,DEFENSE,UNKNOWN,,0.163,True,False,0.234,Elite,,,Elite
End Zone - Clip 009.mp4,3584,,,DEFENSE,LB,MIKE (middle),0.102,True,False,0.100,Elite,,,Elite
End Zone - Clip 009.mp4,3589,,,DEFENSE,EDGE,DE (down),0.012,False,True,0.100,Elite,0.042,,Elite
End Zone - Clip 009.mp4,3651,,,DEFENSE,EDGE,DE (down),0.045,True,False,0.067,Elite,0.085,,Elite
End Zone - Clip 009.mp4,3660,,,DEFENSE,EDGE,DE (down),0.026,False,True,0.200,Above Average,0.055,,Above Average
End Zone - Clip 009.mp4,3666,,,DEFENSE,EDGE,DE (down),0.033,False,False,0.033,Elite,,,Elite
End Zone - Clip 009.mp4,3682,,,DEFENSE,DL,5-tech,0.041,True,False,0.133,Elite,,,Elite
End Zone - Clip 010.mp4,3761,,,DEFENSE,CB,Off (5-7 yards),0.088,False,False,0.100,Elite,,0.046,Elite
End Zone - Clip 010.mp4,3891,,,DEFENSE,SLOT,Nickel/Slot,0.139,False,False,0.100,Elite,,0.080,Elite
End Zone - Clip 010.mp4,3941,,,DEFENSE,S,Strong Safety,0.278,True,False,0.033,Elite,,0.196,Elite
End Zone - Clip 011.mp4,4045,,,DEFENSE,LB,SAM (strong),0.105,True,False,0.100,Elite,,,Elite
End Zone - Clip 011.mp4,4129,,,DEFENSE,LB,WILL (weak),0.115,True,False,0.067,Elite,,,Elite
End Zone - Clip 011.mp4,4147,,,DEFENSE,S,Strong Safety,0.278,True,False,0.234,Elite,,0.014,Elite
End Zone - Clip 011.mp4,4205,,,DEFENSE,LB,SAM (strong),0.098,True,False,0.133,Elite,,,Elite
End Zone - Clip 011.mp4,4237,,,DEFENSE,SLOT,Nickel/Slot,0.111,False,False,0.100,Elite,,0.099,Elite
End Zone - Clip 011.mp4,4239,,,DEFENSE,CB,Off (5-7 yards),0.102,False,False,0.067,Elite,,0.014,Elite
End Zone - Clip 011.mp4,4243,,,DEFENSE,LB,SAM (strong),0.095,True,False,0.100,Elite,,,Elite
End Zone - Clip 012.mp4,4721,,,DEFENSE,LB,WILL (weak),0.108,True,False,0.133,Elite,,,Elite
End Zone - Clip 012.mp4,4971,,,DEFENSE,CB,Deep,0.266,False,False,0.067,Elite,,0.032,Elite
End Zone - Clip 012.mp4,5102,,,DEFENSE,LB,WILL (weak),0.125,True,False,0.133,Elite,,,Elite
End Zone - Clip 012.mp4,5204,,,DEFENSE,DL,3-tech,0.127,True,False,0.167,Elite,0.049,,Elite
End Zone - Clip 012.mp4,5249,,,DEFENSE,LB,MIKE (middle),0.089,True,False,0.133,Elite,,,Elite
End Zone - Clip 012.mp4,5248,,,DEFENSE,S,Deep half,0.233,True,False,0.067,Elite,,0.101,Elite
End Zone - Clip 012.mp4,5253,,,DEFENSE,EDGE,DE (down),0.147,False,False,0.133,Elite,0.068,,Elite
End Zone - Clip 012.mp4,5258,,,DEFENSE,EDGE,DE (down),0.030,False,True,0.167,Elite,,,Elite
End Zone - Clip 012.mp4,5260,,,DEFENSE,EDGE,DE (down),0.131,False,False,0.133,Elite,0.052,,Elite
End Zone - Clip 012.mp4,5269,,,DEFENSE,DL,3-tech,0.158,True,False,0.100,Elite,0.074,,Elite
End Zone - Clip 012.mp4,5278,,,DEFENSE,DL,1-tech,0.128,True,False,0.133,Elite,0.048,,Elite
End Zone - Clip 012.mp4,5280,,,DEFENSE,EDGE,DE (down),0.126,False,False,0.100,Elite,0.043,,Elite
End Zone - Clip 012.mp4,5285,,,DEFENSE,DL,0-tech (Nose),0.130,True,False,0.133,Elite,0.048,,Elite
End Zone - Clip 012.mp4,5286,,,DEFENSE,UNKNOWN,,0.167,False,False,0.100,Elite,,,Elite
End Zone - Clip 012.mp4,5291,,,DEFENSE,CB,Off (5-7 yards),0.145,False,False,0.067,Elite,,0.124,Elite
End Zone - Clip 013.mp4,5587,,,DEFENSE,DL,5-tech,0.007,True,True,0.033,Elite,,,Elite
End Zone - Clip 013.mp4,5690,,,DEFENSE,DL,5-tech,0.047,True,False,0.033,Elite,0.025,,Elite
End Zone - Clip 014.mp4,5766,,,DEFENSE,DL,0-tech (Nose),0.138,True,False,0.033,Elite,,,Elite
End Zone - Clip 014.mp4,5861,,,DEFENSE,EDGE,DE (down),0.087,False,False,0.033,Elite,0.139,,Elite
End Zone - Clip 014.mp4,5912,,,DEFENSE,EDGE,DE (down),0.127,True,False,0.033,Elite,0.184,,Elite
End Zone - Clip 014.mp4,5938,,,DEFENSE,DL,5-tech,0.151,True,False,0.067,Elite,0.183,,Elite
End Zone - Clip 014.mp4,5946,,,DEFENSE,EDGE,DE (down),0.144,False,False,0.033,Elite,,,Elite
End Zone - Clip 015.mp4,5985,,,DEFENSE,DL,0-tech (Nose),0.000,True,True,,,,,Average
End Zone - Clip 015.mp4,6330,,,DEFENSE,DL,0-tech (Nose),0.002,True,True,0.033,Elite,,,Elite
End Zone - Clip 015.mp4,6404,,,DEFENSE,CB,Press,0.062,False,False,0.167,Elite,,0.037,Elite
End Zone - Clip 015.mp4,6426,,,DEFENSE,DL,5-tech,0.008,True,True,0.167,Elite,0.021,,Elite
End Zone - Clip 015.mp4,6431,,,DEFENSE,EDGE,DE (down),0.009,False,True,0.133,Elite,,,Elite
End Zone - Clip 016.mp4,7123,,,DEFENSE,S,Deep half,0.276,True,False,0.067,Elite,,0.013,Elite
End Zone - Clip 016.mp4,7122,,,DEFENSE,CB,Deep,0.344,False,False,0.067,Elite,,0.028,Elite
End Zone - Clip 016.mp4,7131,,,DEFENSE,S,Free Safety (centerfield),0.378,True,False,0.067,Elite,,0.034,Elite
End Zone - Clip 016.mp4,7137,,,DEFENSE,S,Strong Safety,0.341,True,False,0.067,Elite,,0.300,Elite
End Zone - Clip 016.mp4,7144,,,DEFENSE,S,Deep half,0.362,False,False,0.033,Elite,,0.183,Elite
End Zone - Clip 016.mp4,7158,,,DEFENSE,S,Strong Safety,0.295,True,False,0.033,Elite,,0.008,Elite
End Zone - Clip 017.mp4,7380,,,DEFENSE,DL,3-tech,0.019,True,True,0.100,Elite,,,Elite
End Zone - Clip 017.mp4,7383,,,DEFENSE,DL,5-tech,0.030,True,True,0.133,Elite,,,Elite
End Zone - Clip 017.mp4,7432,,,DEFENSE,EDGE,DE (down),0.024,False,True,0.267,Above Average,,,Above Average
End Zone - Clip 017.mp4,7463,,,DEFENSE,S,Deep half,0.204,False,False,0.067,Elite,,0.133,Elite
End Zone - Clip 017.mp4,7535,,,DEFENSE,DL,0-tech (Nose),0.014,True,True,0.167,Elite,,,Elite
End Zone - Clip 017.mp4,7557,,,DEFENSE,LB,WILL (weak),0.041,True,False,0.133,Elite,,,Elite
End Zone - Clip 017.mp4,7615,,,DEFENSE,EDGE,DE (down),0.005,True,True,0.167,Elite,,,Elite
End Zone - Clip 017.mp4,7620,,,DEFENSE,DL,0-tech (Nose),0.010,True,True,0.200,Above Average,,,Above Average
End Zone - Clip 017.mp4,7633,,,DEFENSE,CB,Off (5-7 yards),0.122,False,False,0.033,Elite,,0.065,Elite
End Zone - Clip 017.mp4,7655,,,DEFENSE,EDGE,DE (down),0.002,False,True,,,,,Average
End Zone - Clip 017.mp4,7657,,,DEFENSE,CB,Off (5-7 yards),0.139,False,False,0.200,Elite,,0.062,Elite
End Zone - Clip 017.mp4,7686,,,DEFENSE,EDGE,DE (down),0.028,True,True,0.200,Above Average,,,Above Average
End Zone - Clip 018.mp4,7837,,,DEFENSE,DL,5-tech,0.039,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 018.mp4,7874,,,DEFENSE,LB,MIKE (middle),0.042,True,False,0.133,Elite,,,Elite
End Zone - Clip 018.mp4,7880,,,DEFENSE,DL,1-tech,0.049,True,False,0.234,Above Average,,,Above Average
End Zone - Clip 018.mp4,7936,,,DEFENSE,DL,0-tech (Nose),0.039,True,False,0.200,Above Average,0.001,,Above Average
End Zone - Clip 018.mp4,7945,,,DEFENSE,EDGE,DE (down),0.049,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 018.mp4,7979,,,DEFENSE,EDGE,DE (down),0.067,False,False,0.133,Elite,,,Elite
End Zone - Clip 018.mp4,8014,,,DEFENSE,EDGE,DE (down),0.045,True,False,0.033,Elite,,,Elite
End Zone - Clip 018.mp4,8030,,,DEFENSE,EDGE,DE (down),0.045,False,False,0.167,Elite,,,Elite
End Zone - Clip 018.mp4,8048,,,DEFENSE,EDGE,DE (down),0.080,False,False,0.167,Elite,0.031,,Elite
End Zone - Clip 018.mp4,8051,,,DEFENSE,DL,5-tech,0.030,True,True,0.167,Elite,,,Elite
End Zone - Clip 019.mp4,7874,,,DEFENSE,DL,0-tech (Nose),0.022,True,True,0.133,Elite,,,Elite
End Zone - Clip 019.mp4,8051,,,DEFENSE,DL,3-tech,0.049,True,False,0.100,Elite,,,Elite
End Zone - Clip 019.mp4,8030,,,DEFENSE,EDGE,DE (down),0.070,False,False,0.100,Elite,,,Elite
End Zone - Clip 019.mp4,8005,,,DEFENSE,EDGE,DE (down),0.066,False,False,0.100,Elite,,,Elite
End Zone - Clip 019.mp4,8091,,,DEFENSE,EDGE,DE (down),0.085,False,False,0.067,Elite,,,Elite
End Zone - Clip 019.mp4,8073,,,DEFENSE,EDGE,DE (down),0.045,True,False,0.100,Elite,,,Elite
