BEDFORD,TACKLES,TCKLS LOSS,MISS TCKLS,SACKS,F.F.,F.R.,INTERCEPTIONS,PBU,TD
#1 - TRUMAR SELETTE,2.5,,,,,,,,
#20 - AIDEN ONEIL,1.5,,,,,,,,
#7 - DYLAN RODDY,8.5,,2,,,,,,
#51 - INITHALEE BOHANNON,4,1,2,1,,,,,
#12 - ANTONIO LEE,7.5,,2,,,,,,
#61/#62 - MIKE GILL,3.5,,1,,,,,,
#10 - ZION KENNER,,,,,,,,,
#54 - ALNICO MURRY,5,,1,,,,,,
#13 - MUNIR LEWIS,7.5,2.5,3,1.5,,,,,
#43 - KY'ALE COLEMAN,1,,,,,,,,
#33 - ETHAN ENOCH,6,,2,,,,,,
#53 - ONZAY BRUCE,,,,,,,,,
#4 - PRESTON HARRIS,1,,,,,,,,
#17 - TROY PASCHAL,1,,1,,,,,,
#50 - ALEX AYALA,,,,,,,,,
#19 -  MAURICE JOHNSON,2,,1,,,,,,
#18 - JOSIAH ANTHONY,,,,,,,,,
#3 - DAMAR HARRIS,,,,,,,,,
#11  - MIKE DENNIS,4.5,3,2,2,,,,,
#56 - DESHAWN WISE,2,,,,,,,,
DILLON POSEY,,,,,,,,,
#36 - BRAYLEN WILLIAMS,,,,,,,,,
#21 - RAMIR MURPHY,,,,,,,,,
#23 - CARLTON AVANT,,,,,,,,,
