TOTALS,TACKLES,TCKLS LOSS,MISS TCKLS,SACKS,F.F.,F.R.,INTERCEPTIONS,PBU,TD
#1 - TRUMAR SELETTE,31.5,,11,,,1,2,5,
#20 - AIDEN ONEIL,23,1,4,,,,,,
#7 - DYLAN RODDY,54.5,1,7,,,,,,
#51 - INITHALEE BOHANNON,28.5,2,4,3,,,,,
#12 - ANTONIO LEE,48,3,15,1,3,,1,2,
#61/#62 - MIKE GILL,18,1,5,1,,,,,
#10 - ZION KENNER,12,,5,,1,,1,3,
#54 - ALNICO MURRY,39.5,8,3,1.5,1,,,2,
#13 - MUNIR LEWIS,39.5,10.5,15,5.5,1,,,1,
#43 - KY'ALE COLEMAN,3,2,,,1,,,,
#33 - ETHAN ENOCH,14,1,2,,,,,,
#53 - ONZAY BRUCE,1.5,,1,,,,,,
#4 - PRESTON HARRIS,13,,5,,,,,1,
#17 - TROY PASCHAL,5.5,,3,,,,,,
#50 - ALEX AYALA,3,1,,1,,,,,
#19 -  MAURICE JOHNSON,17,,4,,1,,,1,
#18 - JOSIAH ANTHONY,9,,4,,1,,,2,
#3 - DAMAR HARRIS,,,,,,,,,
#11  - MIKE DENNIS,34.5,8,9,5,,,,,
#56 - DESHAWN WISE,10,1,1,,,1,,,
DILLON POSEY,1,,,,,,,,
#36 - BRAYLEN WILLIAMS,3,,3,,,1,,1,1
#21 - RAMIR MURPHY,1,,1,,,,,,
#23 - CARLTON AVANT,1.5,,,,,,,,
#3 - JEMAEL HAYES,1,,,,,,,,
#43 - A'RAY JONES,11.5,,2,,,,,,
#29 - CHRISHAWN TAYLOR,1,1,,,,,,,
#78 - KESHAUN JACKSON,,,,,,,,,
#27 - ANDREW JACKSON,1,,,,,,,,
