EUCLID,TACKLES,TCKLS LOSS,MISS TCKLS,SACKS,F.F.,F.R.,INTERCEPTIONS,PBU,TD
#1 - TRUMAR SELETTE,7.5,,,,,1,,,
#20 - AIDEN ONEIL,5,1,2,,,,,,
#7 - DYLAN RODDY,7.5,,2,,,,,,
#51 - INITHALEE BOHANNON,5,,,1,,,,,
#12 - ANTONIO LEE,7,1,4,,1,,,,
#61/#62 - MIKE GILL,1.5,,,1,,,,,
#10 - ZION KENNER,1,,1,,,,,1,
#54 - ALNICO MURRY,3.5,3,,,,,,1,
#13 - MUNIR LEWIS,4,1,1,,,,,1,
#43 - KY'ALE COLEMAN,1,,,,1,,,,
#33 - ETHAN ENOCH,,1,,,,,,,
#53 - ONZAY BRUCE,1.5,,1,,,,,,
#4 - PRESTON HARRIS,1.5,,,,,,,,
#17 - TROY PASCHAL,,,,,,,,,
#50 - ALEX AYALA,,,,,,,,,
#19 -  MAURICE JOHNSON,,,,,,,,,
#18 - JOSIAH ANTHONY,,,,,,,,,
#3 - DAMAR HARRIS,,,,,,,,,
#11  - MIKE DENNIS,3,,,,,,,,
#56 - DESHAWN WISE,,,,,,,,,
DILLON POSEY,,,,,,,,,
#36 - BRAYLEN WILLIAMS,,,,,,,,,
#21 - RAMIR MURPHY,,,,,,,,,
#23 - CARLTON AVANT,,,,,,,,,
