GARFIELD HTS.,TACKLES,TCKLS LOSS,MISS TCKLS,SACKS,F.F.,F.R.,INTERCEPTIONS,PBU,TD
#1 - TRUMAR SELETTE,8.5,,2,,,,1,1,
#20 - AIDEN ONEIL,,,,,,,,,
#7 - DYLAN RODDY,11.5,,1,,,,,,
#51 - INITHALEE BOHANNON,9,,,1,,,,,
#12 - ANTONIO LEE,10.5,,2,,,,,,
#61/#62 - MIKE GILL,2,,1,,,,,,
#10 - ZION KENNER,,,1,,1,,,,
#54 - ALNICO MURRY,6,1,,,,,,,
#13 - MUNIR LEWIS,4,1,3,1,,,,,
#43 - KY'ALE COLEMAN,,,,,,,,,
#33 - ETHAN ENOCH,7,,,,,,,,
#53 - ONZAY BRUCE,,,,,,,,,
#4 - PRESTON HARRIS,3,,2,,,,,,
#17 - TROY PASCHAL,,,,,,,,,
#50 - ALEX AYALA,,,,,,,,,
#19 -  MAURICE JOHNSON,3.5,,2,,,,,,
#18 - JOSIAH ANTHONY,1,,,,,,,,
#3 - DAMAR HARRIS,,,,,,,,,
#11  - MIKE DENNIS,7.5,1,2,,,,,,
#56 - DESHAWN WISE,,,,,,,,,
DILLON POSEY,,,,,,,,,
#36 - BRAYLEN WILLIAMS,,,,,,,,,
#21 - RAMIR MURPHY,,,,,,,,,
#23 - CARLTON AVANT,,,,,,,,,
#3 - JEMAEL HAYES,,,,,,,,,
#43 - A'RAY JONES,6,,,,,,,,
#29 - CHRISHAWN TAYLOR,1,,,,,,,,
