HOBAN,TACKLES,TCKLS LOSS,MISS TCKLS,SACKS,F.F.,F.R.,INTERCEPTIONS,PBU,TD
#1 - TRUMAR SELETTE,4,,6,,,,1,1,
#20 - AIDEN ONEIL,,,,,,,,,
#7 - DYLAN RODDY,5.5,,1,,,,,,
#51 - INITHALEE BOHANNON,3.5,,,,,,,,
#12 - ANTONIO LEE,3,,4,1,1,,,1,
#61/#62 - MIKE GILL,2,,2,,,,,,
#10 - ZION KENNER,2,,1,,,,,,
#54 - ALNICO MURRY,5.5,,,,,,,,
#13 - MUNIR LEWIS,4,,4,,,,,,
#43 - KY'ALE COLEMAN,,,,,,,,,
#33 - ETHAN ENOCH,,,,,,,,,
#53 - ONZAY BRUCE,,,,,,,,,
#4 - PRESTON HARRIS,,,1,,,,,,
#17 - TROY PASCHAL,,,2,,,,,,
#50 - ALEX AYALA,,,,,,,,,
#19 -  MAURICE JOHNSON,1,,,,,,,,
#18 - JOSIAH ANTHONY,5.5,,2,,1,,,1,
#3 - DAMAR HARRIS,,,,,,,,,
#11  - MIKE DENNIS,2.5,,1,,,,,,
#56 - DESHAWN WISE,2,,1,,,1,,,
DILLON POSEY,,,,,,,,,
#36 - BRAYLEN WILLIAMS,1,,2,,,,,,
#21 - RAMIR MURPHY,,,,,,,,,
#23 - CARLTON AVANT,,,,,,,,,
#3 - JEMAEL HAYES,1,,,,,,,,
#43 - A'RAY JONES,1,,1,,,,,,
#29 - CHRISHAWN TAYLOR,1,1,,,,,,,
