SHAKER HTS.,TACKLES,TCKLS LOSS,MISS TCKLS,SACKS,F.F.,F.R.,INTERCEPTIONS,PBU,TD
#1 - TRUMAR SELETTE,,,,,,,,,
#20 - AIDEN ONEIL,10,,1,,,,,,
#7 - DYLAN RODDY,8.5,,1,,,,,,
#51 - INITHALEE BOHANNON,,,,,,,,,
#12 - ANTONIO LEE,6,,1,,1,,,1,
#61/#62 - MIKE GILL,2,,,,,,,,
#10 - ZION KENNER,2,,2,,,,,1,
#54 - ALNICO MURRY,3,2,1,,,,,1,
#13 - MUNIR LEWIS,5,2,1,1,,,,,
#43 - KY'ALE COLEMAN,,,,,,,,,
#33 - ETHAN ENOCH,,,,,,,,,
#53 - ONZAY BRUCE,,,,,,,,,
#4 - PRESTON HARRIS,,,,,,,,,
#17 - TROY PASCHAL,3.5,,,,,,,,
#50 - ALEX AYALA,2,1,,1,,,,,
#19 -  MAURICE JOHNSON,4,,1,,1,,,1,
#18 - JOSIAH ANTHONY,,,,,,,,,
#3 - DAMAR HARRIS,,,,,,,,,
#11  - MIKE DENNIS,8.5,,,,,,,,
#56 - DESHAWN WISE,3.5,,,,,,,,
DILLON POSEY,,,,,,,,,
#36 - BRAYLEN WILLIAMS,,,,,,,,,
#21 - RAMIR MURPHY,1,,1,,,,,,
#23 - CARLTON AVANT,1.5,,,,,,,,
