WARRENSVILLE HTS.,TACKLES,TCKLS LOSS,MISS TCKLS,SACKS,F.F.,F.R.,INTERCEPTIONS,PBU,TD
#1 - TRUMAR SELETTE,,,,,,,,,
#20 - AIDEN ONEIL,,,,,,,,,
#7 - DYLAN RODDY,8.5,1,,,,,,,
#51 - INITHALEE BOHANNON,7,1,2,,,,,,
#12 - ANTONIO LEE,6,1,,,,,1,,
#61/#62 - MIKE GILL,4,,,,,,,,
#10 - ZION KENNER,2,,,,,,1,,
#54 - ALNICO MURRY,8.5,1,,1,1,,,,
#13 - MUNIR LEWIS,6,1,1,1,,,,,
#43 - KY'ALE COLEMAN,,,,,,,,,
#33 - ETHAN ENOCH,,,,,,,,,
#53 - ONZAY BRUCE,,,,,,,,,
#4 - PRESTON HARRIS,3,,,,,,,,
#17 - TROY PASCHAL,,,,,,,,,
#50 - ALEX AYALA,,,,,,,,,
#19 -  MAURICE JOHNSON,3.5,,,,,,,,
#18 - JOSIAH ANTHONY,1,,2,,,,,1,
#3 - DAMAR HARRIS,,,,,,,,,
#11  - MIKE DENNIS,5.5,3,3,2,,,,,
#56 - DESHAWN WISE,,,,,,,,,
DILLON POSEY,,,,,,,,,
#36 - BRAYLEN WILLIAMS,,,,,,,,,
#21 - RAMIR MURPHY,1.5,,,,,,,,
#23 - CARLTON AVANT,,,,,,,,,
#3 - JEMAEL HAYES,,,,,,,,,
#43 - A'RAY JONES,4.5,,1,,,,,,
#29 - CHRISHAWN TAYLOR,1,,,,,,,,
#78 - KESHAUN JACKSON,,,,,,,,,
#27 - ANDREW JACKSON,1,,,,,,,,
