PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,S,,,,,,,,,,,,,1,
2,S,,,,,,,,,,,,,1,
3,S,,,,,,,,,,,,,1,
4,K,,,M,-40,KO Rec,Return,,,,,,,1,
5,S,,,,,,,,,,,,,1,
6,S,,,,,,,,,,,,,1,
7,O,1,10,L,-30,Run,Rush,WISCONSIN RED,,L,,,,1,-10
8,O,2,20,L,-20,Run,"Rush, TD",Wyoming brown,,R,,,,1,80
9,K,,,M,3,Extra Pt.,Good,,,,,,,1,
10,K,,,M,-40,KO,Return,TEXAS BROWN,,,,,,1,
11,D,1,10,L,-29,Run,Rush,FLA. BLUE,,R,,,,1,9
12,D,2,1,M,-38,Run,Rush,FLA. BLUE,,L,,,,1,6
13,D,1,10,L,-44,Run,Rush,FLA. BLUE,,R,,,,1,4
14,D,2,6,L,-48,Run,Rush,FLA. BLUE,,L,,,,1,2
15,D,3,4,L,50,Run,Rush,FLA. BLUE,,R,,,,1,-6
16,K,4,10,M,-44,Punt Rec,Downed,,,,,,,1,
17,O,1,10,R,-43,Pass,Incomplete,IOWA BLACK,,L,,,,1,0
18,O,2,10,R,-43,Run,Rush,Twins Split,,R,,,,1,-10
19,O,3,20,R,-33,Pass,Penalty,FLA. BLUE,,L,,,,1,-15
20,S,,,,,,,,,,,,,1,
21,O,2,10,R,-18,Run,Rush,IOWA BLACK,,R,,,,1,0
22,O,3,10,M,-18,Pass,Complete,FLA. BLUE,,R,,,,1,4
23,K,4,6,R,-22,Punt,Downed,,,,,,,1,
24,D,1,10,R,49,Run,Penalty,FLA. BLUE,,R,,,,1,-10
25,D,1,20,M,-41,Pass,Incomplete,FLA. BLUE,,L,,,,1,0
26,D,2,20,M,-41,Pass,Sack,FLA. BLUE,,R,,,,1,-13
27,D,3,33,M,-28,Run,Rush,FLA. BLUE,,R,,,,1,-4
28,K,4,37,R,-24,Punt Rec,Return,,,,,,,1,
29,O,1,10,L,-44,Run,Rush,Twins Split,,R,,,,1,0
30,O,2,10,M,-44,Run,Rush,Wyoming brown,,L,,,,1,-3
31,O,3,13,M,-41,Run,Rush,,,R,,,,1,0
32,K,4,13,R,-41,Punt,Downed,,,,,,,1,
33,D,1,10,R,-25,Run,Rush,DBL Slot,,L,,,,1,1
34,D,2,9,L,-26,Run,Rush,DBL Slot,,L,,,,1,4
35,D,3,5,L,-30,Run,Rush,FLA. BLUE,,L,,,,1,0
36,K,4,5,L,-30,Punt Rec,Return,,,,,,,2,
37,O,1,10,M,-38,Pass,Complete,Wyoming brown,,R,,,,2,3
38,O,2,7,R,-41,Pass,Incomplete,Twins Split,,L,,,,2,0
39,S,,,,,,,,,,,,,2,
40,O,3,7,R,-41,Pass,Incomplete,IOWA BLACK,,R,,,,2,0
41,K,4,7,R,-41,Punt,Downed,,,,,,,2,
42,D,1,10,M,-15,Run,Rush,DBL Slot,,L,,,,2,7
43,D,2,3,L,-22,Run,Rush,DBL Slot,,R,,,,2,13
44,D,1,10,R,-35,Run,Rush,DBL Slot,,R,,,,2,3
45,D,2,7,R,-38,Pass,Sack,DBL Slot,,R,,,,2,3
46,D,3,4,R,-41,Run,Rush,DBL Slot,,L,,,,2,-3
47,S,,,,,,,,,,,,,2,
48,K,4,7,L,-38,Punt Rec,Return,,,,,,,2,
49,O,1,10,R,-45,Pass,Complete,WISCONSIN RED,,R,,,,2,15
50,S,,,,,,,,,,,,,2,
51,O,1,10,R,40,Pass,Incomplete,Wyoming brown,,R,,,,2,0
52,O,2,10,R,40,Run,Rush,Wyoming brown,,L,,,,2,12
53,O,1,10,M,28,Run,Rush,Wyoming brown,,R,,,,2,-14
54,O,2,24,R,42,Run,Rush,IOWA BLACK,,R,,,,2,-5
55,O,3,29,R,47,Pass,Complete,FLA. BLUE,,R,,,,2,25
56,O,4,4,R,22,Run,Penalty,FLA. BLUE,,L,,,,2,-15
57,O,1,10,M,37,Pass,Incomplete,FLA. BLUE,,L,,,,2,0
58,D,1,10,M,-37,Run,Rush,Twins Split,,R,,,,2,3
59,D,2,7,M,-40,Run,Rush,DBL Slot,,L,,,,2,2
60,D,3,5,L,-42,Run,Rush,Twins Split,,L,,,,2,-7
61,K,4,12,L,-35,Punt Rec,Return,Twins Split,,,,,,2,
62,O,1,10,R,-38,Pass,Complete,IOWA BLACK,,R,,,,2,6
63,O,2,4,R,-44,Run,Rush,FLA. BLUE,,R,,,,2,2
