PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,S,,,,,,,,,,,,,1,
2,K,,,M,-40,KO Rec,Return,,,,,,,1,
3,O,1,10,L,-38,Run,Rush,Twins Split,,R,,,,1,2
4,O,2,8,L,-40,Run,Rush,,,L,,,,1,11
5,O,1,10,L,49,Pass,Incomplete,Twins Split,,R,,,,1,0
6,O,2,10,M,49,Run,Rush,Wyoming brown,,R,,,,1,9
7,O,3,1,M,40,Run,Rush,Wyoming brown,,R,,,,1,0
8,O,4,1,R,40,Run,Rush,Twins Split,,L,,,,1,16
9,O,1,10,L,24,Run,Rush,Twins Split,,L,,,,1,0
10,O,2,10,L,24,Pass,Complete,Twins Split,,R,,,,1,4
11,O,3,6,R,20,Run,Rush,WISCONSIN RED,,R,,,,1,7
12,O,1,10,R,13,Run,Rush,Wyoming brown,,L,,,,1,4
13,O,2,6,L,9,Pass,Complete,WISCONSIN RED,,L,,,,1,4
14,O,3,2,L,5,Run,Penalty,Wyoming brown,,R,,,,1,-6
15,O,3,8,R,11,Pass,"Complete, TD",Wyoming brown,,L,,,,1,11
16,K,,,M,3,Extra Pt.,Good,,,,,,,1,
17,K,,,M,-40,KO,Return,,,,,,,1,
18,D,1,10,L,-35,Pass,Incomplete,IOWA BLACK,,L,,,,1,0
19,D,2,10,L,-35,Pass,Complete,IOWA BLACK,,R,,,,1,5
20,D,3,5,R,-40,Pass,Complete,IOWA BLACK,,R,,,,1,7
21,D,1,10,R,-47,Pass,Complete,UTAH RED,,L,,,,1,-2
22,D,2,12,L,-45,Pass,Incomplete,IOWA BLACK,,R,,,,1,0
23,D,3,12,L,-45,Pass,Fumble,IOWA BLACK,,R,,,,1,-3
24,O,1,10,L,42,Pass,Incomplete,IOWA BLACK,,R,,,,1,0
25,O,2,10,L,42,Run,Rush,Wyoming brown,,L,,,,1,-3
26,O,3,13,L,45,Pass,Complete,WISCONSIN RED,,R,,,,1,25
27,O,1,10,R,20,Pass,Incomplete,Wyoming brown,,L,,,,1,0
28,O,2,10,R,20,Run,Rush,Wyoming brown,,L,,,,1,7
29,O,3,3,L,13,Run,Rush,Twins Split,,R,,,,1,0
30,O,4,3,R,13,Pass,Complete,Twins Split,,L,,,,1,6
31,O,1,7,L,7,Run,Rush,Twins Split,,R,,,,1,4
32,O,2,3,R,3,Run,"Rush, TD",Twins Split,,R,,,,2,3
33,K,,,M,3,Extra Pt.,Good,,,,,,,2,
34,K,,,M,-40,KO,Return,TEXAS BROWN,,,,,,2,
35,D,1,10,L,-12,Pass,Complete,IOWA BLACK,,R,,,,2,-6
36,D,2,16,R,-6,Pass,Complete,IOWA BLACK,,L,,,,2,24
37,D,1,10,M,-30,Pass,Incomplete,IOWA BLACK,,R,,,,2,0
38,D,2,10,L,-30,Run,Rush,IOWA BLACK,,R,,,,2,2
39,D,3,8,R,-32,Pass,Complete,IOWA BLACK,,L,,,,2,6
40,D,4,2,L,-38,Pass,Complete,IOWA BLACK,,R,,,,2,3
41,D,1,10,R,-41,Pass,Incomplete,UTAH RED,,L,,,,2,0
42,D,2,10,R,-41,Run,Rush,IOWA BLACK,,R,,,,2,12
43,D,1,10,R,47,Pass,Complete,UTAH RED,,L,,,,2,7
44,D,2,3,L,40,Run,Rush,UTAH RED,,L,,,,2,3
45,D,1,10,L,37,Run,"Rush, TD",IOWA BLACK,,R,,,,2,37
46,K,,,M,3,2 Pt. Defend,No Good,IOWA BLACK STACK,,R,,,,2,
47,K,,,M,-40,KO Rec,Return,,,,,,,2,
48,O,1,10,R,-30,Run,Rush,WISCONSIN RED,,R,,,,2,9
49,O,2,1,R,-39,Run,Rush,Wyoming brown,,R,,,,2,7
50,O,1,10,R,-46,Pass,Complete,Wyoming brown,,L,,,,2,39
51,O,1,10,M,15,,Penalty,,,,,,,2,5
52,O,1,5,M,10,Run,Rush,Twins Split,,R,,,,2,4
53,O,2,1,R,6,Run,"Rush, TD",Wyoming brown,,L,,,,2,6
54,K,,,M,3,Extra Pt.,Good,,,,,,,2,
