PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,S,,,,,,,,,,,,,1,
2,K,,,M,-40,KO,Return,,,,,,,1,
3,D,1,10,L,-40,Run,Rush,,,R,,,,1,4
4,D,2,6,M,-44,Pass,Complete,Twins Split,,R,,,,1,19
5,D,1,10,R,37,Pass,Incomplete,OREGON GREEN,,R,,,,1,0
6,D,2,10,R,37,Run,Rush,,,L,,,,1,15
7,D,1,10,R,22,Pass,Penalty,Wyoming brown,,L,,,,1,-5
8,D,1,15,R,27,Run,Rush,,,L,,,,1,-2
9,D,2,17,L,29,,Timeout,DBL Slot,,,,,,1,0
10,D,2,17,L,29,Pass,Complete,FLA. BLUE,,L,,,,1,12
11,D,3,5,L,17,Run,Rush,Twins Split,,L,,,,1,1
12,S,,,,,,,,,,,,,1,
13,D,4,4,L,16,Run,Rush,Wyoming brown,,L,,,,1,14
14,D,1,2,L,2,Run,"Rush, TD",DBL TE Fl,,R,,,,1,2
15,K,,,M,3,Extra Pt. Block,Good,DBL TE,,,,,,1,
16,K,,,R,-40,KO Rec,Return,,,,,,,1,
17,O,1,10,L,-37,Run,Rush,Wyoming brown,,L,,,,1,6
18,O,2,4,L,-43,Run,Rush,Wyoming brown,,R,,,,1,0
19,O,3,4,R,-43,Run,Rush,Wyoming brown,,L,,,,1,11
20,O,1,10,L,46,Run,Rush,Wyoming brown,,R,,,,1,10
21,O,1,10,M,36,Run,Rush,Wyoming brown,,R,,,,1,1
22,O,2,9,M,35,Run,Rush,Wyoming brown,,R,,,,1,2
23,S,,,,,,,,,,,,,1,
24,O,3,7,R,33,Pass,Complete,Wyoming brown,,L,,,,1,13
25,O,1,10,L,20,Run,Rush,WISCONSIN RED,,R,,,,1,3
26,O,2,7,R,17,Run,Rush,Wyoming brown,,L,,,,1,3
27,O,3,4,M,14,Pass,Sack,WISCONSIN RED,,L,,,,1,-5
28,O,4,9,M,19,Pass,Sack,IOWA BLACK,,R,,,,1,-5
29,D,1,10,L,-24,Pass,Incomplete,,,R,,,,1,0
30,D,2,10,L,-24,Run,Rush,FLA. BLUE TIGHT,,R,,,,1,2
31,D,3,8,M,-26,Pass,Sack,OREGON GREEN,,R,,,,1,14
32,D,1,10,R,-40,Pass,Sack,Wyoming brown,,L,,,,1,-7
33,D,2,17,M,-33,Pass,Scramble,Wyoming brown,,L,,,,1,6
34,D,3,11,L,-39,Pass,Complete,FLA. BLUE,,R,,,,1,11
35,D,1,10,R,50,Run,Rush,OREGON GREEN,,L,,,,2,-6
36,D,2,16,L,-44,Pass,Incomplete,,,R,,,,2,0
37,D,3,16,M,-44,Pass,Incomplete,FLA. BLUE,,R,,,,2,0
38,S,,,,,,,,,,,,,2,
39,K,4,16,M,-44,Punt Rec,Downed,,,,,,,2,
40,S,,,,,,,,,,,,,2,
41,O,1,10,M,-22,Pass,Complete,Wyoming brown,,L,,,,2,6
42,O,2,4,L,-28,Run,Rush,Wyoming brown,,L,,,,2,6
43,O,1,10,L,-34,Run,Rush,Wyoming brown,,R,,,,2,5
44,O,2,5,M,-39,Run,Rush,Wyoming brown,,L,,,,2,5
