PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,K,,,L,-40,KO Rec,Return,,,,,,,1,
2,O,1,10,L,-31,Pass,Incomplete,TEXAS BROWN,,R,,,,1,0
3,O,2,15,L,-31,Run,Rush,IOWA BLACK,,R,,,,1,3
4,O,3,12,M,-34,Pass,Incomplete,FLA. BLUE,,L,,,,1,0
5,K,4,12,M,-34,Punt,Return,,,,,,,1,
6,D,1,10,R,-40,Run,Rush,DBL Slot,,L,,,,1,4
7,D,2,6,R,-44,Run,Rush,,,L,,,,1,15
8,D,1,10,R,41,Run,Rush,,,L,,,,1,-2
9,D,2,12,R,43,,Penalty,DBL Slot,,,,,,1,-5
10,D,2,17,R,48,Run,Rush,IOWA BLACK,,R,,,,1,6
11,D,3,11,R,42,Run,Rush,IOWA BLACK,,R,,,,1,5
12,D,4,6,R,37,Run,Rush,FLA. BLUE,,L,,,,1,7
13,O,1,10,L,-35,Run,Penalty,Wyoming brown,,R,,,,1,20
14,O,1,10,L,50,Run,Rush,Wyoming brown,,L,,,,1,4
15,S,2,6,,,,,,,,,,,1,
16,O,2,6,L,46,Run,Rush,Wyoming brown,,R,,,,1,11
17,O,1,10,L,35,Pass,Complete,,,R,,,,1,8
18,O,2,2,R,27,Pass,Complete,Twins Split,,L,,,,1,3
19,O,1,10,L,24,Run,Rush,Twins Split,,R,,,,1,-3
20,O,2,13,L,27,Pass,Complete,Twins Split,,R,,,,1,11
21,O,3,2,R,16,Run,Rush,Twins Split,,L,,,,1,2
22,O,1,10,R,14,Run,Rush,Wyoming brown,,L,,,,1,2
23,O,2,8,L,12,Pass,Incomplete,WISCONSIN RED,,R,,,,1,0
24,O,3,8,L,12,Pass,Complete,TEXAS BROWN,,R,,,,1,-1
25,O,4,9,R,13,Run,Rush,IOWA BLACK,,R,,,,1,-9
26,D,1,10,L,-22,Run,Rush,DBL Slot,,L,,,,1,3
27,D,2,7,L,-25,Run,Rush,DBL Slot,,R,,,,1,7
28,D,1,10,R,-32,Pass,Penalty,DBL Slot,,L,,,,1,-5
29,D,1,15,R,-27,Run,Penalty,,,L,,,,1,-10
30,D,2,25,R,-17,Run,Rush,TEXAS BROWN,,L,,,,1,8
31,D,3,17,M,-25,Run,Rush,TEXAS BROWN,,L,,,,1,6
32,D,4,11,L,-31,Pass,Complete,Twins Split,,R,,,,1,5
33,K,1,10,R,-36,Punt Rec,Fumble,,,,,,,2,
34,S,1,10,,,,,,,,,,,2,
35,D,1,10,R,35,Pass,Penalty,DBL Slot,,R,,,,2,-10
36,D,1,20,R,45,Run,Rush,Wyoming brown,,L,,,,2,0
37,D,2,20,L,45,Pass,Complete,TEXAS BROWN,,R,,,,2,12
38,D,3,8,M,33,Run,Rush,TEXAS BROWN,,R,,,,2,11
39,D,1,10,R,22,Run,Rush,TEXAS BROWN,,R,,,,2,13
40,D,1,9,R,9,Run,Rush,DBL Slot,,R,,,,2,6
41,D,2,3,R,3,Run,"Rush, TD",DBL Slot,,L,,,,2,3
42,K,,,M,3,2 Pt. Defend,No Good,,,L,,,,2,
43,K,,,L,-40,KO Rec,Return,,,,,,,2,
44,S,,,,,,,,,,,,,2,
45,S,,,,,,,,,,,,,2,
46,O,1,10,M,-35,Run,Rush,Twins Split,,R,,,,2,5
47,O,2,5,R,-40,Run,Penalty,Twins Split,,L,,,,2,-10
48,O,2,15,M,-30,Pass,Complete,IOWA BLACK,,L,,,,2,5
49,O,3,10,L,-35,Pass,Scramble,FLA. BLUE,,L,,,,2,9
50,O,4,1,L,-44,Run,Fumble,IOWA BLACK,,R,,,,2,-9
