PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,K,,,M,-40,KO,Return,TEXAS BROWN,,,,,,1,
2,D,1,10,L,-36,Pass,Incomplete,Twins Split,,L,,,,1,0
3,D,2,10,L,-36,Run,Rush,,,L,,,,1,8
4,D,3,2,L,-44,Run,Rush,UTAH RED,,L,,,,1,5
5,D,1,10,L,-49,Pass,Sack,IOWA BLACK,,L,,,,1,-13
6,D,2,23,L,-36,Pass,Incomplete,FLA. BLUE,,R,,,,1,0
7,D,3,23,L,-36,,Timeout,,,,,,,1,0
8,D,3,23,L,-36,Run,Rush,FLA. BLUE TIGHT,,L,,,,1,7
9,K,4,16,L,-43,Punt Rec,Fair Catch,,,,,,,1,
10,S,,,,,,,,,,,,,1,
11,O,1,10,R,-27,Run,Rush,IOWA BLACK,,L,,,,1,0
12,O,2,10,R,-27,Run,Rush,TEXAS BROWN,,R,,,,1,-2
13,O,3,12,R,-25,Pass,Incomplete,TEXAS BROWN,,L,,,,1,0
14,K,4,12,R,-25,Punt,Downed,,,,,,,1,
15,S,,,,,,,,,,,,,1,
16,D,1,10,L,-22,Run,Rush,Twins Split,,R,,,,1,3
17,D,2,7,L,-25,Pass,Complete,FLA. BLUE TIGHT,,R,,,,1,10
18,D,1,10,R,-35,Run,"Rush, TD",WISCONSIN RED,,R,,,,1,65
19,K,,,M,3,Extra Pt. Block,Good,,,,,,,1,
20,K,,,M,-40,KO Rec,Return,,,,,,,1,
21,S,,,,,,,,,,,,,1,
22,O,1,10,R,-25,Pass,Scramble,TEXAS BROWN,,L,,,,1,10
23,O,1,10,M,-35,Run,Rush,TEXAS BROWN,,L,,,,1,-3
24,O,2,13,M,-32,Pass,Sack,FLA. BLUE,,R,,,,1,-5
25,O,3,18,M,-27,Pass,Incomplete,FLA. BLUE,,R,,,,1,0
26,K,4,18,M,-27,Punt,Downed,,,,,,,1,
27,D,1,10,R,-47,Run,Rush,,,L,,,,1,9
28,D,2,1,M,44,Pass,Incomplete,IOWA BLACK,,L,,,,1,0
29,D,3,1,M,44,Run,Rush,,,R,,,,1,2
30,D,1,10,R,42,Pass,Incomplete,Wyoming brown,,L,,,,1,0
31,D,2,10,R,42,Run,Rush,,,L,,,,1,2
32,D,3,8,M,40,Pass,Incomplete,FLA. BLUE,,L,,,,1,0
33,S,,,,,,,,,,,,,1,
34,K,4,8,M,40,Punt Rec,Return,,,,,,,1,
35,S,,,,,,,,,,,,,1,
36,O,2,15,R,-11,Run,Rush,,,R,,,,1,2
37,O,2,13,R,-13,Pass,Complete,Wyoming brown,,L,,,,1,9
38,O,3,4,M,-22,Run,Rush,,,L,,,,1,5
39,O,1,10,M,-27,Run,Penalty,IOWA BLACK,,L,,,,1,-13
