PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,O,1,10,M,-35,Run,Rush,Wyoming brown,,L,,,,1,-1
2,O,1,10,L,-34,Run,Rush,WISCONSIN RED,,L,,,,1,3
3,O,2,7,L,-37,Pass,Complete,IOWA BLACK,,R,,,,1,7
4,O,1,10,R,-44,Pass,Interception,IOWA BLACK,,R,,,,1,
5,D,1,10,R,36,Run,Rush,FLA. BLUE TIGHT,,R,,,,1,-1
6,D,2,11,R,37,Run,Rush,FLA. BLUE TIGHT,,R,,,,1,5
7,D,3,6,R,32,Pass,Incomplete,IOWA BLACK,,R,,,,1,0
8,D,4,6,R,32,Pass,Incomplete,IOWA BLACK,,L,,,,1,0
9,O,1,10,L,-32,Run,Rush,WISCONSIN RED,,R,,,,1,1
10,O,2,9,R,-33,Run,Rush,WISCONSIN RED,,L,,,,1,1
11,O,3,8,R,-34,Pass,Incomplete,IOWA BLACK,,R,,,,1,0
12,S,,,,,,,,,,,,,1,
13,S,,,,,,,,,,,,,1,
14,K,4,8,R,-34,Punt,Downed,WISCONSIN RED,,,,,,1,
15,D,1,10,R,-38,Run,Rush,OREGON GREEN,,L,,,,1,10
16,D,1,10,L,-48,Pass,Incomplete,FLA. BLUE,,L,,,,1,0
17,D,2,10,L,-48,Pass,Penalty,Wyoming brown,,R,,,,1,10
18,D,1,10,L,42,Run,Rush,FLA. BLUE TIGHT,,L,,,,1,3
19,D,2,7,L,39,Run,Rush,,,R,,,,1,-1
20,D,3,8,R,40,Pass,Incomplete,Wyoming brown,,R,,,,1,0
21,D,4,8,R,40,Run,Rush,WISCONSIN RED,,R,,,,1,5
22,O,1,10,L,-35,Run,Rush,Wyoming brown,,R,,,,1,-6
23,O,2,16,M,-29,Run,Rush,IOWA BLACK,,R,,,,1,2
24,O,3,14,L,-31,Pass,Incomplete,IOWA BLACK,,L,,,,2,0
25,K,4,14,L,-31,Punt,Downed,,,,,,,2,
26,D,1,10,R,45,Pass,Penalty,IOWA BLACK,,L,,,,2,-5
27,D,1,15,R,50,Run,Rush,OREGON GREEN,,L,,,,2,-1
28,D,2,16,M,-49,Pass,Incomplete,WISCONSIN RED,,L,,,,2,0
29,D,3,16,L,-49,Pass,Complete,,,L,,,,2,7
30,D,4,9,L,44,Pass,Incomplete,IOWA BLACK,,L,,,,2,0
31,O,1,10,R,-44,Run,Rush,Wyoming brown,,L,,,,2,-5
32,O,2,15,R,-39,Run,Rush,WISCONSIN RED,,L,,,,2,2
33,O,3,13,L,-41,Run,"Fumble, Def TD",IOWA BLACK,,R,,,,2,0
34,K,,,M,3,Extra Pt. Block,Penalty,,,,,,,2,
35,K,,,M,1,Extra Pt. Block,Penalty,,,,,,,2,
36,K,,,M,1,Extra Pt. Block,Good,,,,,,,2,
37,O,1,10,M,-35,Run,Rush,Wyoming brown,,R,,,,2,2
38,O,2,8,M,-37,Pass,Complete,Wyoming brown,,L,,,,2,18
39,O,1,10,L,45,Run,Rush,WISCONSIN RED,,R,,,,2,-2
40,O,2,12,L,47,Pass,Complete,Wyoming brown,,R,,,,2,27
41,S,,,,,,,,,,,,,2,
42,O,1,10,R,20,Run,Penalty,Twins Split,,L,,,,2,-10
43,O,1,20,M,30,Pass,Penalty,IOWA BLACK,,L,,,,2,15
44,O,1,5,R,15,Run,Rush,IOWA BLACK,,R,,,,2,5
45,O,1,10,R,10,Run,Rush,IOWA BLACK,,R,,,,2,-5
46,O,2,15,R,15,Pass,"Interception, Def TD",IOWA BLACK,,R,,,,2,0
47,K,,,M,3,Extra Pt. Block,Good,,,,,,,2,
48,S,,,,,,,,,,,,,2,
49,O,1,10,M,-35,Run,Rush,Wyoming brown,,L,,,,2,1
50,O,2,9,M,-36,Pass,Complete,WISCONSIN RED,,R,,,,2,2
51,S,,,,,,,,,,,,,2,
52,S,,,,,,,,,,,,,2,
53,S,,,,,,,,,,,,,2,
54,S,,,,,,,,,,,,,2,
55,S,,,,,,,,,,,,,2,
56,D,1,10,L,-35,Run,Rush,OREGON GREEN,,R,,,,3,-3
