PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,K,,,M,-40,Onside Kick,Return,,,,,,,1,
2,O,1,10,M,-45,Run,Rush,IOWA BLACK,,R,,,,1,2
3,O,2,8,R,-47,Run,Rush,IOWA BLACK,,R,,,,1,-4
4,O,3,12,R,-43,Pass,Scramble,IOWA BLACK,,L,,,,1,3
5,S,,,,,,,,,,,,,1,
6,K,4,9,L,-46,Punt,Fair Catch,,,,,,,1,
7,O,1,10,M,-15,Run,Rush,Twins Split,,R,,,,1,2
8,O,2,8,R,-17,Run,Rush,Twins Split,,R,,,,1,-13
9,O,3,21,R,-4,Run,Rush,IOWA BLACK,,R,,,,1,2
10,S,,,,,,,,,,,,,1,
11,K,4,19,R,-6,Punt Rec,Downed,IOWA BLACK,,,,,,1,
12,O,1,10,R,44,Run,Rush,Twins Split,,L,,,,1,9
13,O,2,1,M,35,Run,Rush,WISCONSIN RED,,R,,,,1,16
14,O,1,10,M,19,Run,"Rush, TD",Twins Split,,L,,,,1,19
15,K,,,M,3,Extra Pt.,Good,,,,,,,1,
16,K,,,M,-40,KO,Return,,,,,,,1,
17,D,1,10,L,45,Run,Rush,IOWA BLACK,,R,,,,1,4
18,D,2,6,R,41,Run,Penalty,IOWA BLACK,,L,,,,1,-6
19,S,,,,,,,,,,,,,1,
20,D,2,12,R,47,,Penalty,IOWA BLACK,,,,,,1,-5
21,S,,,,,,,,,,,,,1,
22,D,2,17,R,-48,Run,Penalty,IOWA BLACK,,L,,,,1,-5
23,D,2,22,R,-43,Run,Rush,IOWA BLACK,,L,,,,1,-2
24,D,3,24,L,-41,Run,Rush,IOWA BLACK,,L,,,,1,-27
25,K,4,51,L,-14,Punt Rec,Downed,,,,,,,1,
26,O,1,10,M,49,Pass,Incomplete,WISCONSIN RED,,L,,,,1,0
27,O,2,10,M,49,Run,Rush,WISCONSIN RED,,L,,,,1,-1
28,S,,,,,,,,,,,,,1,
29,O,3,11,M,50,Pass,Complete,IOWA BLACK,,L,,,,1,39
30,O,1,10,L,11,Run,Rush,Twins Split,,L,,,,1,7
31,O,2,3,L,4,,Timeout,,,,,,,1,0
32,O,2,3,L,4,Run,"Rush, TD",Wyoming brown,,L,,,,1,4
33,K,,,M,3,Extra Pt.,Block,,,,,,,1,
34,K,,,M,-40,KO,Return,,,,,,,1,
35,D,1,10,L,-48,Run,Rush,IOWA BLACK,,R,,,,1,4
36,D,2,6,M,48,Pass,Penalty,TEXAS BROWN,,L,,,,1,15
37,D,1,10,M,33,Run,Rush,TEXAS BROWN,,L,,,,1,-3
38,D,2,13,M,36,Pass,Sack,TEXAS BROWN,,R,,,,1,-8
39,S,,,,,,,,,,,,,1,
40,D,3,21,M,44,Pass,Scramble,IOWA BLACK,,R,,,,2,1
41,K,4,20,M,43,Punt Rec,Downed,,,,,,,2,
42,O,1,10,L,-3,Pass,Complete,Wyoming brown,,R,,,,2,21
43,O,1,10,R,-24,Run,Rush,Wyoming brown,,L,,,,2,5
44,O,2,5,M,-29,Run,Rush,Twins Split,,L,,,,2,2
45,O,3,3,L,-31,,Penalty,Twins Split,,,,,,2,-5
46,O,3,8,L,-26,Pass,Incomplete,WISCONSIN RED,,R,,,,2,0
47,K,4,8,L,-26,Punt,Return,,,,,,,2,
48,D,1,10,M,-44,,Penalty,,,,,,,2,-5
49,D,1,15,M,-39,Pass,Complete,IOWA BLACK,,L,,,,2,11
50,D,2,4,L,50,Run,Rush,Twins Split,,R,,,,2,-14
51,D,3,18,L,-36,,Timeout,IOWA BLACK,,,,,,2,0
52,D,3,18,L,-36,Pass,Sack,IOWA BLACK,,L,,,,2,-5
53,K,4,23,L,-31,Punt Rec,Fair Catch,,,,,,,2,
54,O,1,10,R,-38,Pass,Complete,WISCONSIN RED,,L,,,,2,11
55,O,1,10,L,-49,Run,Rush,Twins Split,,R,,,,2,31
56,O,1,10,L,20,Run,Fumble,Twins Split,,L,,,,2,-1
57,D,1,10,R,-25,Run,Rush,IOWA BLACK,,L,,,,2,1
58,D,2,9,M,-26,Run,Rush,IOWA BLACK,,L,,,,2,-5
59,D,3,14,M,-21,Run,Rush,IOWA BLACK,,L,,,,2,-4
60,K,4,18,M,-17,Punt Rec,Return,IOWA BLACK,,,,,,2,
61,O,1,10,R,47,Run,Rush,Twins Split,,R,,,,2,-10
62,O,2,20,R,-43,Pass,Incomplete,WISCONSIN RED,,R,,,,2,0
63,O,3,20,R,-43,Pass,Scramble,IOWA BLACK,,R,,,,2,12
64,O,4,8,R,45,Pass,Scramble,FLA. BLUE,,R,,,,2,16
65,O,1,10,R,29,Pass,Incomplete,FLA. BLUE,,R,,,,2,0
66,O,2,10,R,29,Pass,Sack,FLA. BLUE,,L,,,,2,-3
67,O,3,13,L,32,Pass,Scramble,FLA. BLUE,,R,,,,2,13
68,S,,,,,,,,,,,,,2,
69,O,1,10,L,19,Pass,Penalty,FLA. BLUE,,R,,,,2,-10
70,S,,,L,,,,,,,,,,2,
71,O,1,20,M,29,Pass,Scramble,IOWA BLACK,,L,,,,2,6
72,O,2,14,L,23,Pass,Incomplete,IOWA BLACK,,R,,,,2,0
73,O,3,14,L,23,,Timeout,,,,,,,2,0
74,O,3,14,L,23,Pass,Incomplete,FLA. BLUE,,R,,,,2,0
75,S,,,L,,,,,,,,,,2,
76,S,,,,,,,,,,,,,2,
77,S,,,,,,,,,,,,,2,
78,S,,,,,,,,,,,,,2,
79,S,,,,,,,,,,,,,2,
80,S,,,,,,,,,,,,,2,
81,S,,,,,,,,,,,,,2,
82,S,,,,,,,,,,,,,2,
83,S,,,,,,,,,,,,,2,
84,K,,,M,-40,KO,Recovered,,,,,,,3,
85,O,1,10,L,23,Run,Rush,Twins Split,,L,,,,3,-3
86,O,2,13,L,26,Pass,"Complete, TD",Wyoming brown,,R,,,,3,26
87,S,,,,,,,,,,,,,3,
88,K,,,M,3,Extra Pt.,Good,,,,,,,3,
89,K,,,M,-40,KO,Return,,,,,,,3,
90,D,1,10,R,-32,Pass,Complete,IOWA BLACK,,L,,,,3,2
91,D,2,8,L,-34,Pass,Scramble,IOWA BLACK,,R,,,,3,15
92,D,1,10,R,-49,Pass,Incomplete,IOWA BLACK,,R,,,,3,0
93,D,2,10,R,-49,,Penalty,IOWA BLACK,,,,,,3,-5
94,D,2,15,R,-44,,Penalty,IOWA BLACK,,,,,,3,-5
95,D,2,20,R,-39,Pass,Sack,IOWA BLACK,,R,,,,3,-2
96,D,3,22,R,-37,Pass,Complete,IOWA BLACK,,R,,,,3,19
97,D,4,3,R,44,Pass,Scramble,UTAH RED,,R,,,,3,2
98,O,1,10,L,-42,Run,Rush,UTAH RED,,L,,,,3,9
99,O,2,1,L,49,Run,Rush,Wyoming brown,,R,,,,3,-6
100,O,3,7,L,-45,Pass,Penalty,IOWA BLACK,,L,,,,3,5
101,K,4,2,L,50,Fake Punt,Rush,,,R,,,,3,2
102,O,1,10,R,48,Run,Rush,Wyoming brown,,L,,,,3,0
103,O,2,10,R,48,Run,Rush,Twins Split,,L,,,,3,0
104,S,,,,,,,,,,,,,3,
105,O,3,10,M,48,Pass,Complete,FLA. BLUE,,R,,,,3,-4
106,O,1,10,R,-48,,Penalty,IOWA BLACK,,,,,,3,-5
107,O,1,15,R,-43,Pass,Scramble,IOWA BLACK,,R,,,,3,5
108,O,2,10,R,-48,Pass,Incomplete,IOWA BLACK,,L,,,,3,0
109,O,3,10,R,-48,Pass,Incomplete,IOWA BLACK,,L,,,,3,0
110,K,4,10,R,-48,Punt,Downed,,,,,,,3,
111,D,1,10,L,-26,Pass,Complete,IOWA BLACK,,R,,,,3,13
112,D,1,10,R,-39,Pass,Sack,IOWA BLACK,,R,,,,3,-8
113,D,2,18,R,-31,Pass,Scramble,IOWA BLACK,,R,,,,3,-10
114,D,2,28,R,-21,Pass,Complete,IOWA BLACK,,L,,,,3,21
115,S,,,,,,,,,,,,,3,
116,D,3,7,R,-42,,Penalty,TEXAS BROWN,,,,,,3,-5
117,D,3,12,R,-37,Pass,Scramble,TEXAS BROWN,,L,,,,3,0
118,D,4,12,R,-37,,Timeout,,,,,,,3,0
119,D,4,12,R,-37,Pass,Incomplete,TEXAS BROWN,,R,,,,4,0
120,O,1,10,L,37,Run,Rush,Twins Split,,L,,,,4,4
121,O,2,6,L,33,Run,Rush,Twins Split,,L,,,,4,17
122,S,,,,,,,,,,,,,4,
123,O,1,10,L,16,Run,Rush,Twins Split,,L,,,,4,0
124,O,2,10,L,16,Run,Rush,Twins Split,,R,,,,4,1
