PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,K,,,L,-40,KO Rec,Return,,,,,,,1,
2,O,1,10,R,-35,Run,Rush,WISCONSIN RED,DUO LEFT,R,,,,1,2
3,O,2,8,M,-37,Pass,Incomplete,WYOMING GOLD,ISO RIGHT BOOT LEFT H UNDER,R,,,,1,0
4,O,3,8,M,-37,Run,Rush,WISCONSIN RED,51 SURBARU/FORD,L,,,,1,-5
5,K,4,13,L,-32,Punt,Return,,,,,,,1,
6,D,1,10,R,-41,Pass,Complete,WISCONSIN RED,,L,,,,1,29
7,D,1,10,L,30,Run,Rush,IOWA BLACK,,L,,,,1,3
8,D,2,7,L,27,Run,Rush,WISCONSIN RED,,R,,,,1,8
9,D,1,10,R,19,Run,Rush,WISCONSIN RED,,R,,,,1,2
10,D,2,8,R,17,Run,Rush,IOWA BLACK,,L,,,,1,2
11,D,3,6,M,15,Run,Rush,WISCONSIN RED,,L,,,,1,12
12,D,1,3,L,3,Run,Penalty,WISCONSIN RED,,L,,,,1,1
13,D,1,2,L,2,Run,"Rush, TD",UTAH RED,,R,,,,1,2
14,K,,,M,3,2 Pt. Defend,No Good,,,L,,,,1,
15,K,,,L,-40,KO Rec,Out of Bounds,,,,,,,1,
16,O,1,10,M,-35,Run,Rush,WISCONSIN RED T LEFT,Y JET SWEEP,L,,,,1,7
17,O,2,3,L,-42,Pass,Incomplete,WYOMING GOLD,ISO LEFT,L,,,,1,0
18,O,3,3,L,-42,Pass,Complete,Wyoming brown,QUICK PITCH RIGHT,R,,,,1,2
19,O,4,1,M,-44,Run,Rush,WISCONSIN RED,ISO LEFT (LOCK),L,,,,1,0
20,D,1,10,M,44,Pass,Interception,WISCONSIN RED,,L,,,,1,
21,O,1,10,R,-35,Run,Rush,Wyoming brown,HIP ISO LEFT,L,,,,1,8
22,O,2,2,M,-43,Pass,Incomplete,Wyoming brown,51 CADILLAC,L,,,,1,0
23,O,3,2,M,-43,,Timeout,Twins Split,,,,,,1,0
24,O,3,2,M,-43,,Penalty,,,,,,,1,-5
25,O,3,7,M,-38,Pass,Complete,Wyoming brown,,L,,,,1,-1
26,K,4,8,L,-37,Punt,Return,,,,,,,1,
27,D,1,10,R,-34,Run,Rush,UTAH RED,,R,,,,1,1
28,D,2,9,R,-35,Run,Rush,UTAH RED,,L,,,,1,4
29,D,3,5,M,-39,,Timeout,,,,,,,1,0
30,D,3,5,M,-39,Pass,Complete,WISCONSIN RED,,R,,,,1,7
31,D,1,10,R,-46,Run,Rush,IOWA BLACK,,R,,,,1,3
32,D,2,7,R,-49,Run,Rush,WISCONSIN RED,,L,,,,1,8
33,D,1,10,L,43,,Penalty,,,,,,,1,-5
34,D,1,15,L,48,Run,Penalty,WISCONSIN RED,,R,,,,1,16
35,D,1,10,R,32,,Timeout,WISCONSIN RED,,,,,,1,0
36,D,1,10,R,32,Run,Rush,Wyoming brown,,L,,,,2,-3
37,D,2,13,L,35,Pass,Incomplete,Wyoming brown,,R,,,,2,0
38,D,3,13,L,35,Run,Rush,IOWA BLACK,,L,,,,2,10
39,D,4,3,L,25,Run,Penalty,UTAH RED,,L,,,,2,4
40,D,1,10,L,21,Run,Rush,UTAH RED,,R,,,,2,2
41,D,2,8,M,19,Run,Rush,,,R,,,,2,4
42,D,3,5,R,15,Run,Rush,UTAH RED,,R,,,,2,-2
43,K,4,7,R,17,FG Block,No Good,,,,,,,2,
44,O,1,10,L,-24,Pass,Incomplete,IOWA BLACK,61 H OVER,R,,,,2,0
45,O,2,10,L,-24,Run,Rush,FLA. BLUE,,R,,,,2,3
46,O,3,7,R,-27,,Timeout,,,,,,,2,0
47,O,4,7,R,-27,Pass,Penalty,WISCONSIN RED,,L,,,,2,10
48,O,1,10,R,-37,Run,Rush,Wyoming brown,HIP ISO LEFT,L,,,,2,-2
49,O,2,12,L,-35,Pass,Complete,WISCONSIN RED,50 DODGE,R,,,,2,29
50,O,1,10,L,36,Run,Rush,IOWA BLACK,,R,,,,2,-3
51,O,2,13,M,39,Pass,Complete,Wyoming brown,80 Z COMEBACK,R,,,,2,12
52,O,3,1,R,27,Run,Rush,Wyoming brown,,R,,,,2,-7
53,O,4,8,R,34,Run,Rush,IOWA BLACK,,R,,,,2,9
54,O,1,10,R,25,Pass,Incomplete,IOWA BLACK,51 FORD,L,,,,2,0
55,O,2,10,R,25,Pass,Incomplete,IOWA BLACK,51 SATURN,L,,,,2,0
56,O,3,10,R,25,Pass,Incomplete,FLA. BLUE,60 Y OVER,R,,,,2,0
57,O,4,10,R,25,Pass,Incomplete,FLA ORANGE T RT,60 FLAT,R,,,,2,0
58,D,1,10,L,-25,Pass,Sack,IOWA BLACK,,L,,,,2,-5
59,D,2,15,L,-20,Pass,Sack,WISCONSIN RED,,L,,,,2,-7
60,D,3,22,L,-13,Run,Rush,IOWA BLACK,,L,,,,2,7
61,K,4,15,L,-20,Punt Rec,Downed,,,,,,,2,
62,O,1,10,R,39,Pass,Scramble,FLA. BLUE,,L,,,,2,11
63,O,1,10,L,28,Pass,Complete,IOWA BLACK,50 FORD,R,,,,2,8
64,O,2,2,R,20,Pass,Incomplete,IOWA BLACK,,L,,,,2,0
65,O,3,2,R,20,Pass,Complete,IOWA BLACK,50 HONDA,R,,,,2,5
66,O,1,10,R,15,Pass,"Scramble, TD",TEXAS BROWN,,R,,,,2,15
67,K,,,M,3,Extra Pt.,Good,,,,,,,2,
68,K,,,M,-40,KO,Return,,,,,,,2,
69,D,1,10,L,34,Pass,Penalty,Wyoming brown,,R,,,,2,-16
70,D,1,26,L,50,Run,Rush,Twins Split,,,,,,2,-2
71,K,2,28,M,-40,KO,Return,,,,,,,3,
72,D,1,10,M,-32,Run,Rush,WISCONSIN RED,,L,,,,3,2
73,D,2,8,L,-34,Run,Rush,Wyoming brown,,R,,,,3,6
74,D,3,2,M,-40,Run,Rush,WISCONSIN RED,,L,,,,3,8
75,D,1,10,L,-48,Run,Rush,WISCONSIN RED,,L,,,,3,3
76,D,2,7,L,49,Run,Rush,WISCONSIN RED,,L,,,,3,-3
77,D,3,10,L,-48,Pass,Incomplete,WISCONSIN RED,,L,,,,3,0
78,K,4,10,L,-48,Punt Rec,Downed,,,,,,,3,
79,O,1,10,R,45,Run,Rush,TEXAS BROWN,TIT DAVE RIGHT,L,,,,3,5
80,O,2,5,M,40,Pass,Scramble,TEXAS BROWN,50 SUBARU,L,,,,3,6
81,O,1,10,L,34,Run,Rush,FLA. BLUE,TIT DAVE RIGHT,R,,,,3,3
82,O,2,7,L,31,Run,Penalty,IOWA BLACK,TIT DUO GUT LEFT,L,,,,3,19
83,O,1,10,L,12,Run,Rush,,,R,,,,3,3
84,O,2,7,R,9,Run,Penalty,,,L,,,,3,-10
85,O,2,17,M,19,Pass,Complete,,,L,,,,3,4
86,O,3,13,L,15,Pass,"Complete, TD",TEXAS BROWN,,R,,,,3,15
87,K,,,M,3,Extra Pt.,Good,,,,,,,3,
88,K,,,M,-40,KO,Return,,,,,,,3,
89,D,1,10,M,-16,Run,Rush,WISCONSIN RED,,R,,,,3,-2
90,D,2,12,M,-14,Run,Rush,WISCONSIN RED,,L,,,,3,2
91,D,3,10,L,-16,Run,Rush,IOWA BLACK,,R,,,,3,9
92,D,4,1,R,-25,Run,Rush,WISCONSIN RED,,R,,,,3,-3
93,O,1,10,L,22,Pass,Scramble,TEXAS BROWN,,L,,,,3,2
94,O,2,8,L,20,Run,Rush,IOWA BLACK,TIT DUO GUT LEFT,L,,,,3,7
95,O,3,1,L,13,Run,"Rush, TD",,,L,,,,3,13
96,K,,,M,3,Extra Pt.,Good,,,,,,,3,
97,K,,,M,-40,KO,Return,TEXAS BROWN,,,,,,3,
98,D,1,10,L,-24,,Penalty,WISCONSIN RED,,,,,,3,-5
99,D,1,15,L,-19,Pass,Sack,WISCONSIN RED,,L,,,,3,-8
100,D,2,23,L,-11,Run,Rush,WISCONSIN RED,,R,,,,3,2
101,D,3,21,L,-13,,Timeout,,,,,,,3,0
102,D,3,21,L,-13,Pass,Sack,FLA. BLUE TIGHT,,R,,,,3,-12
103,K,4,33,R,-1,Punt Rec,Downed,,,,,,,3,
104,O,1,10,L,17,Pass,"Complete, TD",IOWA BLACK,TOP ISO LEFT BOOT RIGHT H UNDER,R,,,,3,17
105,K,,,M,3,Extra Pt.,Good,,,,,,,3,
