PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
1,K,,,M,-40,KO,Return,,,,,,,1,
2,D,1,10,R,-15,Run,Rush,,,L,,,,1,-1
3,D,2,11,M,-14,Pass,Incomplete,,,L,,,,1,0
4,D,3,11,M,-14,Pass,Complete,,,R,,,,1,48
5,D,1,10,R,38,,Timeout,,,,,,,1,0
6,D,1,10,R,38,Run,Rush,,,R,,,,1,0
7,D,2,10,R,38,Run,Rush,,,R,,,,1,-4
8,D,3,14,R,42,Pass,Incomplete,OREGON GREEN,,R,,,,1,0
9,K,4,14,R,42,Punt Rec,Return,,,,,,,1,
10,O,1,10,M,-12,Pass,Incomplete,FLA. BLUE,,R,,,,1,0
11,O,2,10,M,-12,Run,Rush,WISCONSIN RED,,R,,,,1,6
12,O,3,4,R,-18,Run,Rush,Wyoming brown,,R,,,,1,5
13,O,1,10,R,-23,Pass,Incomplete,WISCONSIN RED,,R,,,,1,0
14,O,2,10,R,-23,Run,Rush,Wyoming brown,,R,,,,1,-2
15,O,3,12,R,-21,Run,Rush,Wyoming brown,,R,,,,1,4
16,K,4,8,R,-25,Punt,Downed,,,,,,,1,
17,D,1,10,R,-38,Pass,Complete,,,L,,,,1,7
18,D,2,3,L,-45,Run,Rush,,,L,,,,1,5
19,D,1,10,L,50,Run,Rush,,,R,,,,1,5
20,D,2,5,M,45,Run,Rush,,,L,,,,1,13
21,D,1,10,L,32,Pass,Complete,,,L,,,,1,16
22,D,1,10,L,16,Run,Rush,,,L,,,,1,4
23,D,2,6,L,12,,Penalty,,,,,,,1,-5
24,D,2,11,L,17,Run,Rush,,,R,,,,1,7
25,D,3,4,R,10,Run,"Rush, TD",,,R,,,,1,10
26,K,,,M,3,Extra Pt. Block,No Good,,,,,,,1,
27,K,,,M,-40,KO Rec,Out of Bounds,,,,,,,1,
28,O,1,10,L,-35,Run,Rush,Wyoming brown,,R,,,,1,3
29,O,2,7,M,-38,Run,Rush,Wyoming brown,,R,,,,1,11
30,O,1,10,M,-49,Pass,Complete,Wyoming brown,DAVE GUT RIGHT,R,,,,1,13
31,O,1,10,R,38,Pass,Incomplete,Wyoming brown,,L,,,,1,0
32,O,2,10,R,38,Pass,Incomplete,Wyoming brown,,L,,,,1,0
33,O,3,10,R,38,Pass,Complete,Wyoming brown,,L,,,,1,15
34,O,1,10,L,23,Pass,Complete,Wyoming brown,DUO RIGHT SLOW,R,,,,1,13
35,O,1,10,R,10,Run,"Rush, TD",Wyoming brown,DUO LEFT,R,,,,1,10
36,K,,,M,3,Extra Pt.,Good,,,,,,,1,
37,K,,,M,-40,KO Rec,Return,,,,,,,1,
38,D,1,10,R,-40,Pass,Penalty,,,L,,,,1,-5
