DN,DIST,PLAY TYPE,RESULT,GN/LS,ODK,YARD LN,HASH,SERIES,OFF STR,OFF FORM,OFF PLAY,PLAY DIR,GAP,DEF STR,DEF FRONT,BLITZ,COVERAGE,KICK YARDS,RET YARDS,PENALTY,2 MIN,TEAM,OPP TEAM,PLAY #,QTR,PASS ZONE,PERSONNEL,MOTION,MOTION DIR,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,TACKLER1_Jersey,TACKLER1_Name,TACKLER2_Jersey,TACKLER2_Name,RUSHER_Jersey,RUSHER_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,BACKFIELD,EFF,RETURNER_Jersey,RETURNER_Name,KICKER_Jersey,KICKER_Name,RECOVERED BY_Jersey,RECOVERED BY_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,OPP RUSHER,OPP PASSER,OPP RECEIVER,OPP TACKLER1,OPP TACKLER2,OPP RETURNER,OPP KICKER,OPP RECOVERED BY,OPP INTERCEPTED BY,PROTECTION,TAG,NOTE,COMMENT,STR CALL,WK CALL,DRILL,STUNT,BALL CARRIER,STR ROUTES,WK ROUTES,TE/SE,ST/WK,OPTION,SCORE,16,FIELD / BOUNDARY,Y/N,DUG BACKFIELD,DUG FORMATION,TOO/AWAY,NEAR/FAR,RUN/PASS,FORMATION STRENGTH,FSL,SHIFT,RUN STRENGTH,PASS ROUTE,PASS CHART,PASS RESULT,SCRAMBLE,TRICK,TITLE,ROUTE,PEN YARDS,POSITIVE,CRITICISM,OFFENSIVE FORMATIONS
,,KO Rec,Penalty,,K,-25,L,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KO Rec,Return,,K,-20,L,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Fumble,-6,O,-46,R,1,BAL,IOWA BLACK,,R,,,,,,,,,,,,3,1,,,,,,,,,,,,,9,Lukas Alexander,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,4,D,40,L,1,R,Twins Split,,R,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,N,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,Run,Rush,3,D,36,L,1,R,Wyoming brown,,R,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,N,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pass,"Complete, TD",33,D,33,R,1,,,,R,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,N,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extra Pt. Block,Good,,K,3,M,1,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KO Rec,Return,,K,-40,L,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,5,O,-28,M,2,R,WISCONSIN RED,,R,,,,,,,,,,,,9,1,,,,,,,,,,,,,20,Aiden O'Neal,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,Penalty,5,O,-33,M,2,R,WISCONSIN RED,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
