clip_file,track_id,jersey_number,player_name,roster_position,team,team_name,jersey_color,inferred_position,recognition_latency_sec,recognition_latency_grade,first_step_sec,first_step_grade,post_snap_distance,initial_velocity,sdi_score,sdi_grade
ricky_powers_michigan.mp4,1,,,,michigan,MICHIGAN,,,,,,,0.000,,5000.0,Average
ricky_powers_michigan.mp4,2,,,,michigan,MICHIGAN,,,,,,,0.788,,5157.0,Average
ricky_powers_michigan.mp4,3,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,5,,,,michigan,MICHIGAN,,,,,,,0.043,,5008.0,Average
ricky_powers_michigan.mp4,6,,,,michigan,MICHIGAN,,,,,,,0.072,,5014.0,Average
ricky_powers_michigan.mp4,7,,,,michigan,MICHIGAN,,,,,,,0.239,,5047.0,Average
ricky_powers_michigan.mp4,8,,,,michigan,MICHIGAN,,,,,,,0.498,,5099.0,Average
ricky_powers_michigan.mp4,9,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,10,,,,michigan,MICHIGAN,,,,,,,0.033,,5006.0,Average
ricky_powers_michigan.mp4,11,,,,michigan,MICHIGAN,,,,,,,1.030,,5206.0,Average
ricky_powers_michigan.mp4,12,,,,michigan,MICHIGAN,,,,,,,1.032,,5206.0,Average
ricky_powers_michigan.mp4,14,,,,michigan,MICHIGAN,,,,,,,0.306,,5061.0,Average
ricky_powers_michigan.mp4,15,,,,michigan,MICHIGAN,,,,,,,0.228,,5045.0,Average
ricky_powers_michigan.mp4,16,,,,michigan,MICHIGAN,,,,,,,0.381,,5076.0,Average
ricky_powers_michigan.mp4,19,,,,michigan,MICHIGAN,,,,,,,0.103,,5020.0,Average
ricky_powers_michigan.mp4,21,,,,michigan,MICHIGAN,,,,,,,0.076,,5015.0,Average
ricky_powers_michigan.mp4,25,,,,michigan,MICHIGAN,,,,,,,0.775,,5155.0,Average
ricky_powers_michigan.mp4,27,,,,michigan,MICHIGAN,,,,,,,0.099,,5019.0,Average
ricky_powers_michigan.mp4,29,,,,michigan,MICHIGAN,,,,,,,0.026,,5005.0,Average
ricky_powers_michigan.mp4,32,,,,michigan,MICHIGAN,,,,,,,1.425,,5284.0,Average
ricky_powers_michigan.mp4,33,,,,michigan,MICHIGAN,,,,,,,0.071,,5014.0,Average
ricky_powers_michigan.mp4,34,,,,michigan,MICHIGAN,,,,,,,1.343,,5268.0,Average
ricky_powers_michigan.mp4,35,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,36,,,,michigan,MICHIGAN,,,,,,,0.064,,5012.0,Average
ricky_powers_michigan.mp4,37,,,,michigan,MICHIGAN,,,,,,,0.109,,5021.0,Average
ricky_powers_michigan.mp4,38,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,40,,,,michigan,MICHIGAN,,,,,,,0.015,,5002.0,Average
ricky_powers_michigan.mp4,41,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,50,,,,michigan,MICHIGAN,,,,,,,1.109,,5221.0,Average
ricky_powers_michigan.mp4,54,,,,michigan,MICHIGAN,,,,,,,0.145,,5029.0,Average
ricky_powers_michigan.mp4,59,,,,michigan,MICHIGAN,,,,,,,0.520,,5104.0,Average
ricky_powers_michigan.mp4,61,,,,michigan,MICHIGAN,,,,,,,0.728,,5145.0,Average
ricky_powers_michigan.mp4,64,,,,michigan,MICHIGAN,,,,,,,0.043,,5008.0,Average
ricky_powers_michigan.mp4,66,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,67,,,,michigan,MICHIGAN,,,,,,,0.096,,5019.0,Average
ricky_powers_michigan.mp4,68,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,69,,,,michigan,MICHIGAN,,,,,,,0.182,,5036.0,Average
ricky_powers_michigan.mp4,71,,,,michigan,MICHIGAN,,,,,,,1.967,,5393.0,Average
ricky_powers_michigan.mp4,72,,,,michigan,MICHIGAN,,,,,,,0.218,,5043.0,Average
ricky_powers_michigan.mp4,73,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,74,,,,michigan,MICHIGAN,,,,,,,0.124,,5024.0,Average
ricky_powers_michigan.mp4,76,,,,michigan,MICHIGAN,,,,,,,0.042,,5008.0,Average
ricky_powers_michigan.mp4,75,,,,michigan,MICHIGAN,,,,,,,2.074,,5414.0,Average
ricky_powers_michigan.mp4,77,,,,michigan,MICHIGAN,,,,,,,0.413,,5082.0,Average
ricky_powers_michigan.mp4,79,,,,michigan,MICHIGAN,,,,,,,0.134,,5026.0,Average
ricky_powers_michigan.mp4,80,,,,michigan,MICHIGAN,,,,,,,0.015,,5003.0,Average
ricky_powers_michigan.mp4,81,,,,michigan,MICHIGAN,,,,,,,0.177,,5035.0,Average
ricky_powers_michigan.mp4,82,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,89,,,,michigan,MICHIGAN,,,,,,,0.356,,5071.0,Average
ricky_powers_michigan.mp4,91,,,,michigan,MICHIGAN,,,,,,,0.050,,5009.0,Average
ricky_powers_michigan.mp4,92,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,93,,,,michigan,MICHIGAN,,,,,,,0.083,,5016.0,Average
ricky_powers_michigan.mp4,95,,,,michigan,MICHIGAN,,,,,,,1.805,,5361.0,Average
ricky_powers_michigan.mp4,107,,,,michigan,MICHIGAN,,,,,,,0.121,,5024.0,Average
ricky_powers_michigan.mp4,108,,,,michigan,MICHIGAN,,,,,,,0.333,,5066.0,Average
ricky_powers_michigan.mp4,110,,,,michigan,MICHIGAN,,,,,,,0.189,,5037.0,Average
ricky_powers_michigan.mp4,113,,,,michigan,MICHIGAN,,,,,,,0.003,,5000.0,Average
ricky_powers_michigan.mp4,118,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,119,,,,michigan,MICHIGAN,,,,,,,0.002,,5000.0,Average
ricky_powers_michigan.mp4,120,,,,michigan,MICHIGAN,,,,,,,0.013,,5002.0,Average
ricky_powers_michigan.mp4,122,,,,michigan,MICHIGAN,,,,,,,0.000,,5000.0,Average
ricky_powers_michigan.mp4,129,,,,michigan,MICHIGAN,,,,,,,0.022,,5004.0,Average
ricky_powers_michigan.mp4,132,,,,michigan,MICHIGAN,,,,,,,0.043,,5008.0,Average
ricky_powers_michigan.mp4,133,,,,michigan,MICHIGAN,,,,,,,0.050,,5009.0,Average
ricky_powers_michigan.mp4,134,,,,michigan,MICHIGAN,,,,,,,0.344,,5068.0,Average
ricky_powers_michigan.mp4,135,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,136,,,,michigan,MICHIGAN,,,,,,,0.545,,5109.0,Average
ricky_powers_michigan.mp4,139,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,147,,,,michigan,MICHIGAN,,,,,,,0.063,,5012.0,Average
